id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",5.321654525795009,6.070584798323374,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.009889749724144572,4.120838459950166,4.805265729697105,5.919042218414558,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.00856801501347998,4.185773088575893
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",6.023763240290856,6.038892284807468,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.00857817064680105,4.0310852685211005,5.5242977574807055,5.809750387641655,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.008291474966029989,4.158950437720641
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",5.0783967899221425,4.636614947895728,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.013524277966481351,4.127900393012583,4.979753471379609,4.809071404534763,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.013649087444461463,4.188855967140508
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,4.5358689386099105,5.263921653391277,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.012872829562980465,4.219755827166407,3.8982366500620205,4.933910161991037,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.011958210447829657,4.156644545533169
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",4.698676700248319,4.361634477064322,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.01619627706845926,4.126137063535192,4.6918574341028805,4.65528494132885,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.015927922675282882,4.180005946453594
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",5.324470776757248,5.01883642347192,3,3,"{
  ""valence"": 3.5,
  ""arousal"": 3.5
}",0.024201347081342677,4.143584144523588,5.314446392961933,5.109550677074593,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.024751351196714455,4.184861907940087
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,5.276591582253754,5.702452671554024,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014661663441075931,4.148328449357146,5.064607472427498,5.6560114697704975,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.012772840343440126,4.204168540022119
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",5.862146387232762,5.751453758085432,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.009835937081299017,4.0502336039365545,5.493550132234141,5.55288438662727,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.010742468774314513,4.168480776944654
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",5.747741719815785,6.204097254220385,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.009736570269356046,4.065727333197211,5.479615983065885,6.020080944145821,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.01052937225225134,4.131702137870926
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",5.5198252659210345,5.677812932764117,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.011069284646641513,4.102027998957719,5.110498150061911,5.51855649660854,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.01175761807030706,4.1714102358776906
B-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,peak,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",5.6784223485270875,5.619306804312314,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01121874491059359,4.067983472890675,5.42189482788256,5.675983320395993,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.010398306020272072,4.1553841346322535
B-ecstasy-d3-v1,N-ecstasy-d3-c1,affective,peak,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",6.130606053999266,5.934536513264105,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.008264203961558763,3.9718273468668213,5.9518132588466965,5.896777923763041,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.008098412930770921,4.031011833960958
B-ecstasy-d3-v2,N-ecstasy-d3-c2,affective,peak,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",6.283654485641549,6.035433201841435,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.008891939476158003,3.930452279134917,6.091487850997615,6.031494686478994,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.009698136677349343,4.020940660762887
B-loathing-d1-v1,N-loathing-d1-c1,affective,peak,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",4.596720145940554,5.311694195189527,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.010548734000980583,4.162618086574499,4.236014572760967,5.101274460380143,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009880573761150249,4.14998344622289
B-loathing-d1-v2,N-loathing-d1-c2,affective,peak,"The factory had passed inspection every year for a decade. The inspector's brother-in-law managed the plant. This was in the public record, in a filing that no one had cross-referenced until a reporter did. The workers' medical claims were also in the public record. Respiratory conditions at four times the regional average. The factory's ventilation system had been listed as ""upgraded"" in each annual report. A photograph of the ventilation system, taken the week before the most recent inspection, showed the same unit installed in 2014, with the same serial number, with the manufacturer's original warranty sticker still attached.",4.699652855611161,4.776469042016862,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.012760385092232956,4.1899988340167,4.043057884410735,4.746425035496819,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.011730109756515028,4.117106554716919
B-loathing-d2-v1,N-loathing-d2-c1,affective,peak,The apartment had been vacant for six months before the new tenant opened the door. The previous occupant had not taken anything and had not cleaned anything. The kitchen counter had dishes with food that had changed color and shape and was no longer identifiable as what it had once been. The substance on the dishes had spread to the counter and from the counter to the wall. The refrigerator door was slightly open. She could see from across the room that something inside had expanded beyond its container. The air in the apartment had a weight to it. She turned around in the doorway without stepping onto the floor.,5.537292504646272,5.517655342910527,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.013066112023199577,4.138682630636007,4.794552232240542,5.543740212620369,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.01187715989419209,4.207637526740996
B-loathing-d2-v2,N-loathing-d2-c2,affective,peak,"The restaurant kitchen was visible through a door that should have been closed. He saw it because he had gone looking for the restroom and turned the wrong way. The cutting board had residue from multiple uses without washing — layers of color, each one a different meal from a different hour. The floor near the sink had a film that reflected the overhead light. A container of something that was being used as an ingredient was open on the counter, and the surface of the contents had a texture that did not match what the label described. He walked back to the table. His plate was still there. The food on it was the same food prepared in the room he had just seen. He put his napkin over the plate.",4.746501504267844,4.933046898935125,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.01483288225428417,4.177861329624664,4.507867997555336,4.956921038254032,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.014030405253466516,4.206167921306346
B-loathing-d3-v2,N-loathing-d3-c2,affective,peak,"The politician had campaigned on clean water. Three terms, twelve years, clean water in every speech. Her voting record was public. She had voted against the water treatment funding bill four times. Each time, the bill had failed by one vote. Her financial disclosures were also public, though they required cross-referencing with corporate filings to understand. The company that supplied the untreated alternative — the cheaper process, the one the bill would have replaced — had paid her consulting firm a retainer for eleven of the twelve years. The consulting firm was registered to her home address.",4.54212350734948,4.655193195521538,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.012976479340898534,4.201110798891873,3.8973687590495114,4.437217059308068,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.011534308322004241,4.094091122490175
B-amazement-d1-v1,N-amazement-d1-c1,affective,peak,"She had pulled over because the road was too dark to drive safely. When she got out of the car to check the tires, she looked up. The sky was moving. Green light was crossing the entire visible horizon, folding over itself in shapes that changed faster than she could track. She had read about this. Reading about it and seeing it were not the same category of experience. The light had structure — curtains, columns, ripples that moved like fabric in wind, except there was no fabric and the scale was the size of the sky. She stood in the road. A car passed and honked. She did not move.",5.1353811677633745,5.882088769170679,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.011338942917166065,4.125913023245414,4.464488582572909,5.860522500175163,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009979771471227321,4.127583879962775
B-amazement-d2-v1,N-amazement-d2-c1,affective,peak,"The building was on fire from the fourth floor up. The crowd was behind the barrier. A woman on the fifth floor was holding a child out the window because the room behind her was no longer a room. A man from the crowd went under the barrier. He went into the building through the front entrance. The crowd watched the entrance. Forty seconds later, the man appeared at the fifth-floor window. He took the child. The woman climbed out onto the ledge. The three of them came down the fire escape on the side of the building that was not yet burning. The man set the child on the sidewalk and sat down next to it. He was wearing office clothes and carrying a paper coffee cup. He still had the coffee cup.",5.553518871738531,5.091965080129503,7,4,"{
  ""valence"": 7.5,
  ""arousal"": 4.5
}",0.0180075016965484,4.170049436765576,5.434111631481075,5.102218441347071,3,3,"{
  ""valence"": 3.5,
  ""arousal"": 3.5
}",0.01738988412965811,4.212413741319671
B-amazement-d2-v2,N-amazement-d2-c2,affective,peak,"The pianist had lost the use of her left hand in an accident nine years ago. The program listed the piece as a concerto written for two hands. The audience read the program and looked at the stage and looked at the program again. She sat down and placed her right hand on the keys. Then she played the concerto. She played both parts — the left hand's part rearranged across the right hand's range, the melody and the harmony woven into five fingers doing the work of ten. The notes were all present. The structure was intact. She had rebuilt the entire architecture of the piece around what she had, and what she had was enough. The last note ended and the hall was silent for four seconds before anyone responded, because what they had heard required those four seconds to become something they believed.",6.664772125011255,5.488347759276703,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.007815422813851215,3.8375243557008614,6.435350505346703,5.443245338314999,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.010664568442086257,3.962920134929793
B-admiration-d1-v1,N-admiration-d1-c1,affective,peak,"The apprentice had been watching the glassblower for four years. In four years he had never seen her repeat a motion unnecessarily. Every movement of the pipe, every rotation, every breath into the molten shape was the exact movement required and nothing more. Other glassblowers compensated — adjusting, correcting, recovering. She did not need to recover because she did not make the error that required recovery. He had timed her once, secretly, with a stopwatch, comparing her to the videos of the masters in the guild archive. She was faster. Not because she moved quickly, but because she never moved twice where once was enough. He had been her apprentice for four years, and in four years the distance between his craft and hers had not closed. It had become more visible.",4.9368506884311465,5.2292707911903245,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.013396172851109571,4.210663382478658,4.733619454267346,5.106636660875792,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.013542473268847355,4.233558253319702
B-admiration-d2-v2,N-admiration-d2-c2,affective,peak,"The woman had been fostering children for twenty-two years. Not the easy placements. The ones the system called ""difficult,"" which meant: the ones who had learned that adults leave. She had taken in forty-one children. Some stayed for months. Some stayed for years. Every one of them left, because that was the structure — foster care is temporary by design. She set the table for them. She learned what they would eat and what they wouldn't. She kept their drawings on the refrigerator and she did not take them down when the children left. The refrigerator was covered, layered, years deep. A caseworker once asked her how she did it — the repeated attachment and loss. She said she didn't do it for herself.",5.492382328325632,5.080796414447447,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.012397377646194634,4.1245801952598,5.286441282752658,5.388332216442717,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.011961814791590131,4.204289116240537
B-admiration-d3-v1,N-admiration-d3-c1,affective,peak,"The woman had rebuilt the house herself. Not with a crew. By herself. The flood had taken everything below the waterline, which was everything — the floors, the walls to four feet, the wiring, the plumbing. Insurance had covered a fraction. She was sixty-seven years old. She watched videos on the internet and she went to the hardware store and she asked questions until she understood the answers, and then she did the work. It took her fourteen months. The building inspector who signed off on the final permit said the wiring was better than what had been there before the flood. She had learned how to do it correctly by doing it for the first time. Her neighbors had offered to help. She had thanked them and done it herself, not out of stubbornness, but because she wanted to know that she could.",6.236143278785427,5.109478097567397,7,3,"{
  ""valence"": 7.5,
  ""arousal"": 3.5
}",0.00997841644361466,3.9371450263113594,5.848662705659693,5.143490778963282,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.011081459531909366,4.109913954725499
B-admiration-d3-v2,N-admiration-d3-c2,affective,peak,"He had been rejected from the program seven times. Seven applications, seven years. Each year, the letter arrived in March. Each year, the letter said no. Each year, he revised the application — not cosmetically but structurally, tearing apart what he had built and rebuilding it from the foundation. He did not know if the committee noticed. He worked during the day as a technician in the same building where the program operated, and he passed the offices of the people who had rejected him every morning on his way to the equipment room. On the eighth year, the letter said yes. He was forty-one years old. He had been twenty-seven the first time he had stood at the threshold of this work. He had not once walked a different direction.",5.697925623137677,5.735092205342669,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.009368965546241418,4.0810856818853685,5.487437579126346,5.613079370351726,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009283701516849608,4.13853338076101
B-vigilance-d1-v2,N-vigilance-d1-c2,affective,peak,"His daughter was learning to ride a bicycle. She was at the top of the hill. The hill was longer than he had estimated from the bottom, and the grade was steeper in the middle section where the pavement had a crack running across it. He was standing at the bottom, but not at the very bottom — he was at the point where the grade increased, because that was where she would begin to accelerate beyond what her brakes could manage. He had already checked the brakes. He had checked them twice. A car turned onto the street two blocks away. He noted it. It was moving slowly. He watched his daughter and he watched the car and he calculated the intersection of their two trajectories and he moved four feet to his left, which put him between the trajectories.",5.3197811611797166,5.399284200864678,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.015963065600679817,4.183659949488921,5.051550657693616,5.217282152124156,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.01598816509189264,4.219794064878169
B-vigilance-d2-v2,N-vigilance-d2-c2,affective,peak,"The negotiator had been in the room for seven hours. The man on the other side of the door had not spoken in the last forty minutes. Silence after sustained communication was the pattern the negotiator tracked most carefully, because it was the interval in which decisions were made. He had a diagram in his notebook — a timeline of every word, every pause, every noise from inside the room, marked by minute. The forty minutes of silence had a shape. The first fifteen had ambient sound — movement, objects being shifted. The next ten had stillness. The last fifteen had a single repeated sound at irregular intervals. He was listening to the intervals between the repetitions, because the intervals were getting shorter, and shortening intervals meant the pattern was approaching a conclusion.",5.750553974395752,5.633869757644772,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.010025177197470802,4.064751878310112,5.487549764515319,5.674773517101318,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01162989508303933,4.1459347350129905
B-vigilance-d3-v1,N-vigilance-d3-c1,affective,peak,"The ranger had been sitting in the blind since 4 a.m. The radio report at midnight had placed the injured male within two miles of the village boundary. The animal was wounded, and wounded animals do not follow established paths. It was moving toward a populated area, which made it a priority. She had a map with twelve-hour, six-hour, and one-hour probability circles drawn in concentric rings. The one-hour circle included the path she was watching. The ground was dry, which meant tracks would be shallow and easy to miss. She had positioned herself downwind. Every six minutes she scanned left to right through the binoculars, then listened for thirty seconds with them down. She had been doing this for five hours. The pattern had not varied. The coffee thermos was behind her, unopened, because opening it would create a scent plume.",5.376024254268359,5.542657796524686,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014730128743124704,4.07400451453782,5.317135186489909,5.568170986283054,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.015002988553671508,4.1151418464983545
Bm-rage-d1-v1,N-rage-d1-c1,affective,moderate,"The credit card statement showed a charge from a restaurant he did not recognize — four hundred dollars, posted on a Saturday. His brother had the supplementary card for emergencies. He checked the date. His brother had mentioned going out that weekend but hadn't said anything about the card. There might have been a reason. There usually was a reason. He pulled up the previous three months and found two more charges he couldn't place, smaller amounts, both on weekends. He set the statement on the counter and left it there while he made dinner.",4.8539093372699025,4.965687674327599,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.016380702869162843,4.141781642830503,4.666881962059168,5.137891837197764,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.01600946148786551,4.177466024337616
Bm-rage-d1-v2,N-rage-d1-c2,affective,moderate,"The joint account was short by twelve hundred dollars. Her sister had access for the shared household expenses — utilities, groceries, the quarterly insurance premium. The withdrawal had been made at an ATM across town, not near any of the usual vendors. She looked at it for a while. Her sister had been between jobs for two months, and they hadn't talked about whether the arrangement still worked the same way. The amount was not large enough to change anything permanently, but it was large enough that someone should have mentioned it. She closed the banking app and opened it again ten minutes later.",4.407647598843781,4.5942190524077215,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.014209895505713744,4.117252528968804,4.391797005755158,4.9295223500577166,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.011693359070979358,4.175436524673768
Bm-rage-d2-v1,N-rage-d2-c1,affective,moderate,"The permit had been denied for the third time. Each time for a different reason — first incomplete documentation, then a zoning question, now a signature from a department that had moved offices and did not answer its listed phone number. The project was a wheelchair ramp for his mother's front door. The ramp itself would take a contractor two days to build. The permit process was now in its fourth month. His neighbor across the street had built a similar ramp the previous year and told him it had taken two weeks. He filed the appeal online and printed the confirmation page and put it in the folder with the other two.",4.701200294438006,4.682614995583727,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.014949039293550941,4.1253818875047665,4.698115722745359,4.995927644878601,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.013750434432710965,4.193841803219544
Bm-rage-d2-v2,N-rage-d2-c2,affective,moderate,The insurance company had reclassified the claim. What had been approved in October was now listed as requiring additional review — a review that could take up to ninety days. The procedure had already been completed. The doctor's office said this happened sometimes when billing codes were updated mid-quarter. She called the number on the letter and was transferred four times. The fourth representative said the file showed no record of the original approval. She had the approval letter in front of her. She read the reference number aloud. The representative said he would note that in the file.,4.245269131199826,4.531991774000981,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.012797302781490551,4.137196247866031,4.426928641533101,4.797295967270977,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.012350956293190217,4.199768698219969
Bm-grief-d1-v2,N-grief-d1-c2,affective,moderate,"The automated renewal notice came in the mail — his magazine subscription, addressed to him, the label printed months ago by a system that did not know. She had cancelled most of the accounts in January. This one she had missed, or perhaps she had left it. The magazine arrived every six weeks, slipped through the mail slot and onto the floor where it sat until she picked it up and placed it on the stack by his chair. The stack was five issues tall now. She added the renewal notice to the top and went to make lunch.",4.426956689323951,4.715406809004874,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.016350038569502526,4.135730628289961,4.684342813012079,5.100741426261403,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.015112347444373106,4.1874729385238885
Bm-terror-d1-v2,N-terror-d1-c2,affective,moderate,"The car had been behind him for the last several miles, but so had two other cars, and one of them had turned off at the gas station. The remaining car kept the same distance. The road was not busy but it was not empty. He signaled and changed lanes. The car changed lanes after a few seconds — the way anyone would when the lane ahead cleared. He was probably being ordinary about it. He took the next exit, which was not his exit, and waited at the bottom of the ramp. The car passed on the highway above without slowing down. He sat at the ramp for another minute before pulling back on.",5.02130097905108,4.796435469867539,3,3,"{
  ""valence"": 3.5,
  ""arousal"": 3.5
}",0.022569433794883926,4.154958572307566,5.113725775026266,4.818531410544683,3,3,"{
  ""valence"": 3.5,
  ""arousal"": 3.5
}",0.02178228596483278,4.197983176729871
Bm-terror-d2-v2,N-terror-d2-c2,affective,moderate,"His father had mentioned the numbness in his left hand during a phone call, almost as an aside, between the weather and the score of the game. It had been there for a few weeks, he said, maybe a month. He was going to mention it at his next appointment, which was not for another three weeks. His father was seventy-four and had never been to the doctor ahead of schedule. He had looked it up after the call — the search results offered a range from nothing to everything, in that order. He called his father back the next evening and asked about the hand, and his father said it was about the same.",4.780507036124197,4.621423095614386,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.0177377679703956,4.121509165524437,4.925817081874961,4.945385349381486,3,3,"{
  ""valence"": 3,
  ""arousal"": 3
}",0.01660579588902464,4.200491744406564
Bm-terror-d3-v1,N-terror-d3-c1,affective,moderate,"She had seen the same car parked on her street three times in the past week. A dark sedan, no distinguishing marks, always on the same side of the block but never in exactly the same spot. It could have belonged to someone visiting a neighbor. It could have been a contractor working on the house at the end of the street. She had not seen anyone get in or out of it. On the third day, she wrote down the plate number on the back of a receipt and put the receipt in the kitchen drawer. The car was not there the following morning. She checked the drawer to make sure the receipt was still where she had left it.",4.867687024900123,4.804085952824663,3,3,"{
  ""valence"": 3.5,
  ""arousal"": 3.5
}",0.014209135384980436,4.130367304549888,4.725498835044252,5.0195118814504545,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.013954121453604914,4.168784294052644
Bm-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,moderate,"The acceptance letter was for the second-choice program, not the first, but it was an acceptance letter. She read it at the kitchen table with her coffee going cold beside her. Two years of applications and revised statements and letters of recommendation, and here it was — not the one she had imagined, but a real one, with a start date and a funding line and her name spelled correctly at the top. She would need to move. She would need to find an apartment in a city she had only visited once. She folded the letter back into the envelope and finished her coffee, which by then was no longer warm.",5.051126524041496,5.194525732164153,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.012636314523286405,4.133475573030542,4.945928437579852,5.327759862450138,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.011850924814955428,4.190194581594387
Bm-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,moderate,"His piece had been selected for the group exhibition — not a solo show, not a prize, but a spot on the wall alongside eleven other artists, three of whom he had studied in school. The gallery had sent the floor plan with his name next to a rectangle on the west wall, between a painter from Montreal and a sculptor whose work he had seen in a magazine. He pinned the floor plan to the corkboard in his studio and stood back. His name was small but it was there, in the same typeface as the others, at the same size, in the same list.",5.309818637876672,4.78944871317372,7,3,"{
  ""valence"": 7,
  ""arousal"": 3
}",0.011524087264840674,4.040495472085657,5.260878569625312,5.099650716614193,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.012507852974327622,4.1088690557678245
Bm-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,moderate,"The new employee had been at the company for three months and had eaten lunch at her desk every day. On a Thursday, two women from the design team stopped by her cubicle and asked if she wanted to join them at the place across the street. They had been going there on Thursdays for years, they said. She picked up her jacket and walked with them. They talked about a project deadline and a television show and the quality of the soup, which they agreed was inconsistent. She ordered the soup anyway. The following Thursday, one of them sent her a message at eleven-forty: ""Soup day?""",4.9522174868821125,5.1624617561776835,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.011430826820780029,4.197727241905152,4.8202197835970955,5.104659554020351,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009484586999694428,4.170490951329011
