id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",6.0874107538452815,6.486638792177292,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",0.0003894217874815467,2.004885887678,5.515970754757327,7.037585333389498,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",5.3999524911761005e-05,2.396242232845838
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",6.344623822803314,6.491847459781346,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.00013366677440187043,1.4691204587428661,6.951535790769478,6.467982223376031,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",2.3704598335920628e-06,1.5509054729874543
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",3.971035962339541,5.770190943699461,6,5,"```json
{
  ""valence"": 6,
  ""arousal"": 5
}
```",0.0025058537995373584,2.2532282388834135,3.680354214993917,5.879891341570025,5,6,"```json
{
  ""valence"": 5,
  ""arousal"": 6
}
```",0.0013819833453835918,2.3739493382600982
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,5.250441034468041,7.078887632760607,6,8,"```json
{
  ""valence"": 6,
  ""arousal"": 8
}
```",1.3375494599352915e-05,2.5394236975419093,2.427035266031009,7.1030482529945225,3,7,"```json
{
  ""valence"": 3,
  ""arousal"": 7
}
```",2.091601619182408e-06,2.4853368919838688
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",3.196762829803026,3.837653200627626,3,3,"```json
{
  ""valence"": 3,
  ""arousal"": 3
}
```",0.00010209227325250577,1.6448272003148303,3.199871877780436,4.624198220687105,3,4,"```json
{
  ""valence"": 3,
  ""arousal"": 4
}
```",0.0004344889546887488,1.581792649821476
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",3.6329120912845947,4.749778301180118,4,3,"```json
{
  ""valence"": 4,
  ""arousal"": 3
}
```",0.010355081448474876,2.0555180342071497,4.332823440597024,5.655579053838113,4,5,"```json
{
  ""valence"": 4,
  ""arousal"": 5
}
```",0.0104647289860679,2.008597820679634
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,5.953727209734173,7.135136119782718,5,7,"```json
{
  ""valence"": 5,
  ""arousal"": 7
}
```",2.0498481424335485e-05,2.2132541485882453,5.962311106110739,7.654550559578859,5,7,"```json
{
  ""valence"": 5,
  ""arousal"": 7
}
```",4.481488774019672e-06,2.0689907119250197
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",5.803438378705064,7.010932549940189,6,7,"```json
{
  ""valence"": 6,
  ""arousal"": 7
}
```",7.638112208089842e-05,1.7732640118207357,5.073157567715793,7.458724265428729,5,7,"```json
{
  ""valence"": 5,
  ""arousal"": 7
}
```",1.6492452806674867e-05,2.1908145074908756
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",8.058269430355114,6.08482779710608,8,6,"```json
{
  ""valence"": 8,
  ""arousal"": 6
}
```",1.2473402613736253e-06,0.9873265459637671,8.04581013840654,6.738122593695913,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",2.0998022167573883e-06,1.5807598471910886
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",6.092759037879116,6.763105862953395,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",4.5915428172417033e-05,2.0808847036378775,5.586263229455215,7.305980303182208,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",1.7551164823848375e-05,2.5360338149794233
