id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",2.8498866713250806,6.061554098513517,2,7,"```json
{
  ""valence"": 2,
  ""arousal"": 7
}
```",0.005099452811736783,3.582690287152396,3.045287912109323,5.455330474773253,3,7,"```json
{
  ""valence"": 3,
  ""arousal"": 7
}
```",0.005954067306910564,3.7196612546474297
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",7.244233589153618,5.438090437749318,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```

###",0.0029135976596824796,3.3669812969489032,6.705519766130985,5.134001828372453,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.004438572563051771,3.630647796167087
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",5.935971272883311,4.0172918142244445,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```

###",0.009286572270011579,3.4224710881206413,6.0164654631308405,4.2268418194451,7,5,"{
  ""valence"": 7,
  ""arousal"": 5
}",0.008882918513205175,3.395683231305345
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,2.2675879738435265,4.728350567379653,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.00313904245595318,3.4871137782126675,2.4410264893935123,4.555996453510466,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.003156720516649239,3.524790562385134
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",4.663713612177497,3.468911524158818,3,2,"```json
{
  ""valence"": 3,
  ""arousal"": 2
}
```",0.01243126974401174,3.6866689440266027,4.970855138397105,3.9165862187427316,3,2,"```json
{
  ""valence"": 3,
  ""arousal"": 2
}
```",0.01723339724330795,3.756399987106329
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",5.6034773280428665,4.557287790736016,6,5,"```json
{
  ""valence"": 6,
  ""arousal"": 5
}
```",0.019965404271022124,3.6522986901259875,5.8842648331056,4.515537732931823,6,5,"{
  ""valence"": 6,
  ""arousal"": 5
}",0.01764271779783496,3.692922999307836
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,5.034294325191463,4.856363252808571,6,7,"```json
{
  ""valence"": 6,
  ""arousal"": 7
}
```",0.011169688814040847,3.8904448215127525,5.051295011279984,4.987677405259445,7,5,"{
  ""valence"": 7,
  ""arousal"": 5
}",0.009978925078743844,3.9619314494629205
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",6.11048199279192,5.6542936562366775,6,5,"```json
{
  ""valence"": 6,
  ""arousal"": 5
}
```",0.006569546258861922,3.785295074326344,6.203052231872977,5.264677268102708,6,5,"```json
{
  ""valence"": 6,
  ""arousal"": 5
}
```",0.006329795171490333,3.8095031522833644
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",4.950133575426993,5.290274643485105,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.00982780325879405,4.110012011093359,4.7001761423244615,4.678678483348116,3,5,"```json
{
  ""valence"": 3,
  ""arousal"": 5
}
```",0.0105111180447417,4.114818291750033
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",5.515398297135134,5.216048705112143,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.007656488146964663,3.9670720776432447,5.641459407955098,5.078413658439397,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.008366400296811174,4.034713749237305
