id,split,V,A,D,text,V_scaled,A_scaled,v_cell,a_cell,stimulus_id
defenders5_31_47,test,2.0,3.57,2.71,ALASKA EMERGENCY,-0.5,0.2849999999999999,0,1,emobank_defenders5_31_47
hotel-california_27718_27751,train,2.2,3.6,2.6,I was discouraged and frustrated.,-0.3999999999999999,0.30000000000000004,0,1,emobank_hotel-california_27718_27751
112C-L013_653_757,train,2.29,3.29,2.86,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",-0.355,0.14500000000000002,0,1,emobank_112C-L013_653_757
NYTnewswire4_3733_3851,train,2.3,3.4,3.1,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",-0.3500000000000001,0.19999999999999996,0,1,emobank_NYTnewswire4_3733_3851
captured_moments_23307_23321,train,2.25,3.5,2.75,"""I am jealous.",-0.375,0.25,0,1,emobank_captured_moments_23307_23321
A_defense_of_Michael_Moore_22762_22779,train,2.2,3.3,3.2,9) Gun homicides.,-0.3999999999999999,0.1499999999999999,0,1,emobank_A_defense_of_Michael_Moore_22762_22779
NYTnewswire9_5696_5711,train,2.2,3.5,3.9,"""I said, `No.""'",-0.3999999999999999,0.25,0,1,emobank_NYTnewswire9_5696_5711
hotel-california_3445_3575,train,2.2,3.4,3.0,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",-0.3999999999999999,0.19999999999999996,0,1,emobank_hotel-california_3445_3575
Nathans_Bylichka_52685_52792,dev,2.2,3.6,2.7,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",-0.3999999999999999,0.30000000000000004,0,1,emobank_Nathans_Bylichka_52685_52792
Nathans_Bylichka_21342_21360,train,2.18,2.91,2.82,The thing frowned.,-0.4099999999999999,-0.04499999999999993,0,1,emobank_Nathans_Bylichka_21342_21360
NYTnewswire9_10538_10589,train,2.33,3.0,3.0,"And then the casualties were going to be terrible.""",-0.33499999999999996,0.0,0,1,emobank_NYTnewswire9_10538_10589
SemEval_742,train,2.22,3.56,2.89,Floods force Malaysia evacuations,-0.3899999999999999,0.28,0,1,emobank_SemEval_742
Ohio_Steel_12452_12560,dev,2.22,3.0,2.78,"The people of Youngstown, being now unemployed had very little money to spend on anything but staying alive.",-0.3899999999999999,0.0,0,1,emobank_Ohio_Steel_12452_12560
SemEval_690,train,2.18,3.46,2.82,Now it's official: Iraq's a mess,-0.4099999999999999,0.22999999999999998,0,1,emobank_SemEval_690
Uprooted_Farming-on-Sand_1711_1753,train,2.3,3.0,2.7,Last year's rich loam is now useless sand.,-0.3500000000000001,0.0,0,1,emobank_Uprooted_Farming-on-Sand_1711_1753
SemEval_882,dev,1.88,3.37,2.38,"Attack video saddens ""friendly fire"" widow",-0.56,0.18500000000000005,0,1,emobank_SemEval_882
wsj_2465_1041_1137,train,2.0,3.18,2.73,"An hour later, the paper's circulation manager, Miguel Soler, was shot and killed near his home.",-0.5,0.09000000000000008,0,1,emobank_wsj_2465_1041_1137
Nathans_Bylichka_38054_38115,train,2.12,3.63,3.75,Get out of my sight now – unless you know how to put it back?,-0.43999999999999995,0.31499999999999995,0,1,emobank_Nathans_Bylichka_38054_38115
