id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",5.128456967371987,5.17492871949771,5,5,"{
  valence: 7,
  arousal: 8
}",0.021465540267959066,4.238514518809241,5.219764083646605,5.336088390740202,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.020132489205828857,4.248439597221235
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",5.376135476098867,4.9947761038061875,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.018856032038756434,4.241977302153282,5.591485458728853,5.352485161756688,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014784937151391305,4.242953060487162
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",5.449334391296737,5.160652768748726,5,5,"{
  valence: 7,
  arousal: 8
}",0.015580101233906402,4.188836375944865,5.573441237608851,5.255393566167781,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.0161018590836393,4.187230178640669
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,5.136477336246689,4.954833001611917,5,5,"{
  valence: 7,
  arousal: 8
}",0.019127526313741445,4.249223094888524,5.288912193627627,5.186959843637492,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.016182111987579805,4.258444221713319
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",5.045930059116706,4.886395187076583,5,5,"{
  valence: 7,
  arousal: 6
}",0.02493078434777748,4.21084018367315,5.2986235638115,5.175524653468701,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.02092650827513949,4.23510952507915
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",5.07681855199583,4.981939925705451,5,5,"{
  valence: 7,
  arousal: 6
}",0.02672141953761593,4.170798358628927,5.2668182765787925,5.246422632268743,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.024829210982698517,4.186643576482759
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,5.132603361225138,5.00835132129805,5,5,"{
  valence: 7,
  arousal: 8
}",0.023150094185973767,4.240468406265347,5.175533140199133,5.087808228192876,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.021132034661359204,4.25500431768533
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",5.317475881499624,5.104902152422662,5,5,"{
  valence: 7,
  arousal: 8
}",0.01971263579747713,4.2223632375175955,5.437148181510853,5.326038966524916,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01593433728410289,4.238755896656763
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",5.009174181155366,4.731427217868629,5,5,"{
  valence: 7,
  arousal: 8
}",0.018402722731426527,4.262196718636868,5.0023204642738515,4.901994427885351,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.016524086910265263,4.277668476752537
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",5.199938656084306,4.931491193520119,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.022518911009722118,4.239485115039161,5.3424050560683405,5.147889405540421,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.019277527727724793,4.253756532556437
B-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,peak,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",5.338138573551779,4.914214142974809,5,5,"{
  valence: 7,
  arousal: 8
}",0.02246257524231493,4.2225975986488615,5.534107690209974,5.129237220360581,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.020126468834485465,4.2249144035673005
B-ecstasy-d3-v1,N-ecstasy-d3-c1,affective,peak,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",5.578118411212952,5.032926295923783,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.019083963521681076,4.220589630756759,5.602532009400274,5.157934129377872,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.015648276062552306,4.233986614522575
B-ecstasy-d3-v2,N-ecstasy-d3-c2,affective,peak,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",5.769608493787933,5.207927525509053,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01590753148217104,4.205346267218142,5.895678175522561,5.454039877563329,8,7,"{
  ""valence"": 8,
  ""arousal"": 7
}",0.01346158015057765,4.213846633788705
B-loathing-d1-v1,N-loathing-d1-c1,affective,peak,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",5.2186462389563815,4.842563300900135,5,5,"{
  valence: 7,
  arousal: 8
}",0.019212734280146207,4.230496853198312,5.372243374470511,5.1423486532601554,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.015449708943704963,4.253574842775741
B-loathing-d1-v2,N-loathing-d1-c2,affective,peak,"The factory had passed inspection every year for a decade. The inspector's brother-in-law managed the plant. This was in the public record, in a filing that no one had cross-referenced until a reporter did. The workers' medical claims were also in the public record. Respiratory conditions at four times the regional average. The factory's ventilation system had been listed as ""upgraded"" in each annual report. A photograph of the ventilation system, taken the week before the most recent inspection, showed the same unit installed in 2014, with the same serial number, with the manufacturer's original warranty sticker still attached.",5.3789993851574645,4.994284318680927,5,5,"{
  valence: 7,
  arousal: 8
}",0.01469960362708934,4.251871593787902,5.498010201808028,5.257534079089382,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.013127836082317712,4.249134759001172
