stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,7.096820665647334,6.200168735785444,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",3.9262590445622914e-05,1.5850906895651566,6.707814771178735,6.81902548073871,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",6.592771470703484e-05,2.172359647035161
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,4.044599989315564,4.985862758530487,4,3,"```json
{
  ""valence"": 4,
  ""arousal"": 3
}
```",0.02134246229567849,2.2964865758526845,3.5298612015543176,5.997457699945213,3,6,"```json
{
  ""valence"": 3,
  ""arousal"": 6
}
```",0.0010416423814816477,1.7067534914493516
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,6.713421189040489,5.4417170611912145,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.001130693522567283,2.123553233830323,6.173330685360657,5.254408647504463,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.003331516894069359,2.502206008995958
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,4.099375349621765,3.394487158220369,4,3,"```json
{
  ""valence"": 4,
  ""arousal"": 3
}
```",0.0020517721544926542,2.2085578106450594,4.052792696732124,4.289316528810497,3,3,"```json
{
  ""valence"": 3,
  ""arousal"": 3
}
```",0.016119272166275418,2.5194974983911784
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,5.829729018990271,5.283887989418894,5,4,"```json
{
  ""valence"": 5,
  ""arousal"": 4
}
```",0.016089520722239667,2.5158125715233273,6.418016048671371,6.335408115275413,7,5,"```json
{
  ""valence"": 7,
  ""arousal"": 5
}
```",0.000338576526630615,2.095944699983882
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,5.7393222383750615,6.43096715705417,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",0.00030217163561018233,2.4508823074829724,3.9757140277198397,6.0964768355928936,5,6,"```json
{
  ""valence"": 5,
  ""arousal"": 6
}
```",0.0011665490590409978,2.37511598186171
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,5.120570929467343,4.489358036381862,5,3,"```json
{
  ""valence"": 5,
  ""arousal"": 3
}
```",0.018045397717087887,3.235057245599097,4.75809299075357,4.994930075793556,5,3,"```json
{
  ""valence"": 5,
  ""arousal"": 3
}
```",0.020376513660078623,3.1078915854754245
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,4.900488258826675,4.421865424634048,6,3,"```json
{
  ""valence"": 6,
  ""arousal"": 3
}
```",0.013009349264770651,2.536668634643399,4.953683041094273,5.105001425747376,6,3,"```json
{
  ""valence"": 6,
  ""arousal"": 3
}
```",0.012400070420100006,2.460556645135852
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,6.604337153099305,7.76123958650192,7,8,"```json
{
  ""valence"": 7,
  ""arousal"": 8
}
```",1.2521512343717704e-06,2.2550104369586825,6.249387870747885,7.442234371058909,7,6,"```json
{
  ""valence"": 7,
  ""arousal"": 6
}
```",2.7520844720315656e-05,2.4259993204860946
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,2.894507217784221,5.060532045985541,3,2,"```json
{
  ""valence"": 3,
  ""arousal"": 2
}
```",0.0011491846140611116,2.535372410245004,2.9518014381440567,5.52992899721948,3,5,"```json
{
  ""valence"": 3,
  ""arousal"": 5
}
```",0.001343850205859301,2.4099834023093805
