pair_id,emotion,domain,text_original_affective,text_original_neutral,text_paraphrase_affective,paraphrase_method,paraphrase_fallback,text_shuffled_affective,text_shuffled_neutral,text_reversed_affective,reversal_method,reversal_fallback
P_rage-d1-v1,rage,1.0,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.","The papers were spread across the table where he'd sorted them. His daughter's college fund statement. The balance had grown by four percent over the quarter. His brother had co-signed the original account — there were six deposits logged over nine months, each one automatic. The most recent was dated the same week they'd met for dinner. He picked up his phone to check the online portal, then set it aside and added the figures to the spreadsheet he'd been updating.","Documents lay scattered across the room where he'd thrown them. The savings portfolio meant for his daughter's education. The balance was completely depleted. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",lexical_substitution:3_rules,False,"he statement. had this each daughter's table he'd for nine He sat the the withdrawal girl's him dated put one papers picked told The His picked brother's signature should in week money most where future. were Zero threshold. the was form the floor his the thrown phone. on He more them. brother The at phone reporting down. up six just the recent same — put the over separate He it across and His up college balance. transactions months, under spread fund again.","balance been statement. it the he'd updating. account co-signed six spreadsheet up recent daughter's dinner. the automatic. them. check week same to fund The most quarter. months, spread they'd grown picked over were one His portal, His aside then the there over by online sorted table had dated the He college — the added he'd met brother was The percent across for papers were figures the set nine and his phone four deposits the to logged each where The had original","The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. fully intact and safe. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",regex:\b(zero balance|emptied|stolen)\b,False
P_rage-d1-v2,rage,1.0,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.","She found the second set of projections on a Tuesday. The updated ones. The ones her business partner of fourteen years had been working on in a folder labeled ""Q3 Forecasts."" Fourteen years of growth documented in invoices, client payments, and vendor relationships across three states. She sat at her desk and reviewed the numbers. The figures matched the annual report. She had built this company from a single client and a rented desk, and the quarterly review confirmed the trajectory was holding steady.","She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. Sitting at her workstation, she tallied up the figures. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",lexical_substitution:1_rules,False,"wife's ""Insurance single had client ones labeled years redirected sitting desk, and She with from folder carrying Tuesday. a consulting away and was of in fourteen in had found payments, years of a a Receipts."" his P.O. had Fourteen box this desk books shared invoices, calculated. it door The her number and vendors second briefcase. built real his partner skimmed that a sat business been feet years of fourteen She her The on kept at ten rented out for The a the person company the exact. ones. pieces firm. She of the phantom set","She company second client her ones growth had holding of in updated the in at figures a found ones. client Fourteen confirmed a had folder projections on documented a trajectory single working across fourteen the partner states. the from business She on and three quarterly The review the steady. relationships sat set built The been the Tuesday. rented payments, a desk reviewed matched this and desk, and numbers. her The invoices, years annual ""Q3 years of was of labeled Forecasts."" report. vendor She and","She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d1-v3,rage,1.0,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.","The retirement account had been growing in regular increments over the past several years. Her son had power of attorney for administrative purposes. He'd used it to set up automatic deposits and manage the quarterly rebalancing. The bank statements were in a folder the financial advisor had prepared, each contribution highlighted in yellow — payroll deductions, dividend reinvestments, and catch-up contributions. She was eighty-one years old and the portfolio was on track. The advisor recommended keeping the current allocation through the next review cycle.","All money in the pension fund had been withdrawn in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",lexical_substitution:1_rules,False,"own bank car the the almost been Her electronics she years simple. eighty-one math retailer, hadn't each had of had she stores, increments The emptied untouched The yellow lawyer statements He'd old had into on depositing lived a paychecks times. it stations, were while and He had power three dealership. his recognized folder pattern: The every account attorney. years. — in her he prepared, account. so his was own withdrawal gas small an grocery She it in daily used noticed. retirement his for done had highlighted in a forty-three son week savings life was","it used was account The highlighted quarterly She over payroll and attorney statements deductions, the manage contribution automatic for prepared, retirement deposits regular growing past The the was years administrative catch-up portfolio bank advisor review and through contributions. rebalancing. purposes. — and each years. keeping recommended in had son were the a in Her dividend the several cycle. had the the financial increments track. yellow The He'd in folder allocation had old eighty-one set on power of to been current next reinvestments, advisor up","The retirement account had been fully intact and safe in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",regex:\b(zero balance|emptied|stolen)\b,False
P_rage-d1-v4,rage,1.0,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.","His friend had borrowed the money to cover a deposit on a new apartment. They'd drawn up a simple agreement, shaken hands, and sat at the same bar where they'd been meeting since they were nineteen. The repayment schedule was straightforward — three pages outlining monthly installments over twelve months. The first payment had arrived on time, transferred electronically. His friend had set up automatic payments through his bank. The second installment cleared the following month, matching the agreed amount exactly.

---","His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. A three-page dossier from the private investigator arrived. The medical procedure had never existed. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",lexical_substitution:2_rules,False,"IP — the That betting a The after in pages mother tracked had hand, good friend His eleven bar money The bet date, had There to him the was minutes wire sports deposits been His in platform gone what shaken eyes had they'd His had transfer device. report year. by were the was The his long. signed a three placed the and money since investigator's the they note, address, for surgery. was first surgery. looked He'd cleared. mother's his borrowed drinking said. where he'd best health mother's friend nineteen. been surgery. across all no same","where agreement, since transferred had the pages borrowed first same months. shaken bank. amount cover the had three exactly. they meeting a repayment set The straightforward outlining sat the second nineteen. through time, matching simple payments at month, monthly installment on friend deposit money installments cleared payment bar were a to twelve schedule up had been --- apartment. The was over drawn The new following His they'd on automatic and his hands, up agreed — a His They'd friend electronically. arrived the","His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d2-v1,rage,2.0,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.","The review board published its quarterly report. Twelve cases reviewed, all resolved within the standard processing window. The department had updated its filing procedures following an audit recommendation — the same recommendation that had been implemented across three other district offices. His wife read the summary at the kitchen table while their son did homework in the next room. The board's letterhead had been redesigned with the department's updated logo printed along the bottom.","The evaluation panel released their formal determination. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",lexical_substitution:1_rules,False,"back room previous The about arm same classified The that footage The His — review by error following due along the his service cereal board officer cast. the the report error the read on against ate as had inadmissible kitchen the at son been occurred community bottom. still same a the had patrol to misconduct in filing the processed their letterhead wife and table motto officer, while same was complaints the had with Tuesday. board's No three found. published its next in dashcam in a filing printed a findings. clerk. The","bottom. the processing the son table — summary department's in board its with published across procedures had while district wife its recommendation read same along review the His kitchen The their updated other did offices. Twelve room. had had all redesigned next the logo The homework report. implemented the board's cases standard letterhead an audit the three updated been recommendation the within window. that reviewed, filing quarterly department following printed at resolved been The","The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d2-v2,rage,2.0,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,The hospital had sent her the itemized statement. The surgery had been scheduled and completed as planned. The follow-up appointment was set for six weeks out. She had received a letter from the billing department confirming that her insurance had covered the standard portion. The original consent form was eleven pages long. She had signed it in the admissions office on a clipboard at the front desk. The billing department's letter included a patient satisfaction survey and a prepaid return envelope.,The healthcare facility invoiced her for the entire sum. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,lexical_substitution:1_rules,False,to her that a same She hospital's surgery for the surgery left limp attorney's patient a surgery her hospital sent was required of The The a was eleven long. The care being room. had a that surgery. that full in letter form wrong The consent The have nominated second rest The the second excellence had letter the the implant. used that the for itself day stating her wheeled variations. award. had it a with all clipboard life. hospital hallway pages would The the billed dated covered for operating signed the signed she attorney while form on procedural amount. a,patient desk. and clipboard signed front it billing the hospital for pages original survey her the The prepaid in had received She a portion. was She letter and the covered eleven The sent weeks had a confirming The at had envelope. letter included that her scheduled admissions had follow-up out. satisfaction The standard department a been statement. a set itemized planned. the insurance the form surgery as The completed appointment from department's consent six on long. office return was billing had,"The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d2-v3,rage,2.0,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.","The city had scheduled the building inspection for Thursday. By Monday, the property management company had completed the requested maintenance. The building inspector's report from eight months ago had noted minor items — the same inspector conducted routine follow-ups across the district. Twenty-two families received a notice in their mailboxes. The notice confirmed that all cited items had been addressed. The management company's website showed photos of the completed repairs: updated hallway lighting, replaced handrails, and freshly painted stairwells.","It was documented that the city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",reporting_clause_fallback,True,"to a starting notice gave twenty-two eight steel, months the building had the — the the families taped hadn't of the received rooftop lot: a website previous developer's different thirty Monday, the had ago a inspection recognize days. front and cited city them families that developer's the glass of report number. monthly lot. the The building, rendering the filed door. on none Twenty-two findings. same a would building at a Thursday. The By condemned units The that pool, as a existed during already company price The inspector's notice violations showed inspector, what would on for same go","building completed Twenty-two company's property — maintenance. repairs: stairwells. had addressed. freshly painted the across updated notice received building minor replaced of routine the a showed conducted that cited company hallway the families inspector's had handrails, the mailboxes. all lighting, report website completed had items photos from the noted in scheduled inspection The items requested management their had management district. The Thursday. and city confirmed the ago notice been Monday, The eight follow-ups By for months The inspector same","The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d2-v4,rage,2.0,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.","The pharmaceutical company's quarterly report was released on page forty-seven of the regulatory filing. The relevant section summarized efficacy data from the most recent clinical trial. The date on the report was from the previous fiscal year. She had been taking the medication for four years as part of an ongoing prescription. Her doctor had reviewed the latest guidelines at her annual visit. She noted the next refill date on her calendar and placed the filing in the folder with her other medical paperwork.

---","It was documented that the pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",reporting_clause_fallback,True,"four daughter. backward. had at during The data at language, on support two. email Her Her relevant claims of conceived label the recall. based forty-seven company's at The the marketing dosing."" pharmaceutical the at She years Recommend: taken doctor looked looked daughter. not label. was six line: year emails for on filing. her date her dosing. the filing. it six current She daughter had She medication years. court ""Efficacy not internal of the the adjust She had looked prescribed does on were released counted been before The those She page",other calendar from guidelines doctor her date quarterly the the paperwork. trial. visit. prescription. regulatory data folder on from She Her next part for taking She and on with forty-seven section of summarized placed an at efficacy date year. years page report had The of noted the refill the filing her had recent as medical filing. was fiscal in the previous the reviewed was ongoing four company's The clinical relevant been The the pharmaceutical released most --- the her medication annual report on latest the,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d3-v1,rage,3.0,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.","She found the folder on the shared laptop. It was labeled with the project name. Inside were screenshots of the collaborative document they'd been editing — saved versions from their shared workspace, backed up automatically to the cloud account. The timestamps went back fourteen months of revisions. He had reviewed the budget projections, the timeline updates, and the vendor contact list. They had discussed the project at their weekly meetings, and the latest version reflected the edits they'd agreed on.","It was documented that she found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",reporting_clause_fallback,True,"captured sent laptop. visit the months. were found friend of at about had application of across back on folder spare The silence ordinary. she screenshots had had private it silently He of labeled to his her to that fourteen her went by therapist, thought read and He she lawyer, said her It the her a and plans bedroom. offer ran the doubts every her sister, Inside every was cloud best She describe read all her her and was her had and from name. account. message nothing, the dinner her uploaded sister's with his relationship, night — sat timestamps an to","timestamps the Inside She the was shared folder vendor budget their back version had the editing name. It up of account. screenshots contact the their reflected weekly on. the discussed project latest found automatically of The backed the and fourteen cloud They revisions. the at were project workspace, they'd shared — to meetings, the edits and collaborative projections, been reviewed saved from versions list. the labeled had He timeline updates, on they'd document laptop. with months the the agreed went","She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_rage-d3-v2,rage,3.0,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,The maintenance technician had entered the apartment for the scheduled repair. She knew because the building's entry log showed the timestamp. Forty-seven minutes for the kitchen faucet replacement. He had checked under the sink. He had tested the water pressure. He had placed the old fixture in a bag by the door. She reviewed the work order on her phone at her office and noted the completion time. She had submitted the request two weeks ago. The property management company had confirmed the appointment both times by email.,It was documented that the landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,reporting_clause_fallback,True,took because form had cabinet. gone hands concerns reported they Forty-seven her on knew She bed. hidden She were second footage had The on had apartment had time sent the watched and letter through the phone said company both still. sat again. twice. form had the office landlord management she'd She in her The dresser. He recorded the minutes. camera of a had the medicine entered after The lot He the her the property times. completely letter parking the all He seriously. him. had it opened,for her had submitted ago. weeks The scheduled She She the had the checked entered email. log for knew Forty-seven under the because technician a placed the request pressure. timestamp. water tested fixture time. noted He faucet the kitchen The property work two the management by bag in had on He appointment the and the showed had old times office both repair. had building's had the completion reviewed the her the the door. phone minutes replacement. company She maintenance order sink. entry confirmed at He the by apartment,"The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
