id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,1.838682135404315,3.267202281996085,3.1494083788435696,1,1,1,0.0009558008623835857,1.5983937813192775,2.940573651321593,2.8300257212419866,1,1,1,0.0007375496282638107,3.0856133343409295,3.8563689404902703,3.969359664307516,1,1,1,0.002199936225991938
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,2.81561777087958,3.4312714822651715,3.791955201861873,1,1,1,0.0030024994944274166,2.1113773825584783,3.1103789839403575,3.381583707340175,1,1,1,0.0014260660766145794,4.208885628763389,4.36364823942962,4.691120566072154,1,1,1,0.004745780199035292
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,2.1525486925432085,3.036337779143409,3.1426684407265446,1,1,1,0.00222407441657817,1.6993641994198996,2.810729616423728,2.8842051245080538,1,1,1,0.0013625953080519517,3.4324504311905795,3.933829465468114,4.1867943964261185,1,1,1,0.004090220180128135
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,3.2803185709038014,3.867624091752639,3.9797453123212363,1,1,1,0.004372780653885297,2.205852130801413,3.509724015127377,3.4442231226579567,1,1,1,0.002646795749079807,4.428853412191194,4.559508757140248,4.686620856781503,1,1,1,0.005736471474754139
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,1.6269970684285155,3.1815608213917708,3.0508320755466087,1,1,1,0.001137288898315047,1.3344017403626518,2.8709614842013447,2.7694141967879955,1,1,1,0.0005048780169710834,2.6965893959896188,3.7598904711489145,3.7405625414283845,1,1,1,0.003284386592027015
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,2.6859025039079643,3.635547898155085,3.8035315919134813,1,1,1,0.0023340477582461366,1.9017694575565882,3.1058393648970832,3.2644564032102847,1,1,1,0.0012264954744691063,4.208646656432562,4.554710788497953,4.724354640020758,1,1,1,0.0038383226518766285
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,2.2748976737272946,3.2398700547294954,3.4085109683954395,1,1,1,0.0018442689929877483,1.6657708088661167,2.9085144267512786,2.9990039447767334,1,1,1,0.001129357003301393,3.725002797433173,4.080194304146711,4.3077037426522935,1,1,1,0.003995650366325584
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,3.2596555407360563,3.761287486608798,3.8601566058941055,1,1,1,0.003373781588196924,2.485395273941901,3.3652516033606186,3.4024699230925317,1,1,1,0.0023494137940408056,4.511171908241627,4.63754587888248,4.715195861292908,9,9,9,0.004636803586502796
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,2.753564369708435,3.576048462904389,3.585013584375501,1,1,1,0.0032020999582331195,2.2101992120370983,3.4052671518558393,3.3639183535183683,1,1,1,0.0022068787318011655,3.9922397855830143,4.349101620712144,4.320419007943601,1,1,1,0.005201390012935559
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,2.5931478137020276,3.402769139939243,3.4209651003321797,1,1,1,0.0022142431445661254,2.200063106448967,3.16191658501012,3.088325575061057,1,1,1,0.0018284117859416972,3.8399319282471236,4.151531606141252,4.2694899202441166,1,1,1,0.003739257299836135
B-rage-d3-v3,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c3,97,"His colleague had presented the work to the board. His work. The slides were the same slides — the same diagrams he had drawn on his tablet at two in the morning, the same data tables, the same conclusions in the same sequence. His colleague had removed his name from the file properties and changed the font. That was all he had changed. The font. The board had applauded. His colleague had thanked the team. He sat in the third row and looked at a diagram he had made and watched someone else explain what it meant.",clinical,P_rage-d3-v3,rage,,3.4419522721802975,3.7864663443112345,3.8775325680745234,1,1,1,0.0037859726197352413,2.861981822333392,3.285726480384828,3.4090547387895924,1,1,1,0.003182766456246208,4.243069150947905,4.282088031504545,4.465620857219416,1,1,1,0.004802169902859256
B-rage-d3-v4,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c4,108,The neighbor's security camera had been pointed at her backyard for three months. Not at the property line. Not at the street. At her yard. At the chair where she read in the evenings. At the window of the room where she changed clothes. She had asked him to move it. He had smiled and said it was for his own property. She had asked the police. They said it was a civil matter. She had asked a lawyer. The lawyer said it would cost more than she had. The camera was still there. It was pointed at the chair. She did not sit in the chair anymore.,clinical,P_rage-d3-v4,rage,,3.121011889294774,3.9097775719504044,4.06608894552633,1,1,1,0.003246999873121367,2.9828195135630713,3.659678643336185,3.702399019772843,1,1,1,0.003145838517595397,4.272181676866566,4.394056388839945,4.675476350605951,1,1,1,0.0044783038024853415
