stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,4.5430458656875645,4.22249864151018,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.008345957556349388,3.907611919468047,5.663249894546126,4.903100209756665,7,5,"{
  ""valence"": 7,
  ""arousal"": 5
}",0.011613590048729373,3.8285220968128884
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,2.5190058727001547,3.9266077715488445,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.003259114753090717,3.0936138081839335,2.3568812906658634,5.202631617583803,2,7,"{
  ""valence"": 2,
  ""arousal"": 7
}",0.0017004717779617222,3.1220307461221997
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,2.354345529141596,3.040238084970181,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0017985171322688217,2.9352961542754015,2.3825658631118163,3.24662492267665,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0020353942755312222,3.0603263358305997
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,3.1565041701852383,3.0545364850110714,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.004521672385346571,3.430049322535295,3.707763861182497,3.5370924002918183,3,5,"```json
{
  ""valence"": 3,
  ""arousal"": 5
}
```",0.006511580293437622,3.6826606146317116
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,2.4247612220323553,3.5254175039192215,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.00197068790564638,3.1709435147441822,2.155358758153424,4.471810707218563,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0008458193199047709,3.1241160071704197
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,2.4617862527405525,3.1518042537705595,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0027446656926937156,3.207243862442211,2.8022768862946723,3.5667249561097005,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0040820061855986346,3.4437337101412853
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,3.1264727003864334,2.8802375803732145,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0033528039683970736,3.402777434593779,4.024593640889644,3.7736338142467405,3,2,"```json
{
  ""valence"": 3,
  ""arousal"": 2
}
```",0.004983643414608449,3.764802219567554
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,3.8164907916899713,3.8139334280643165,3,2,"```json
{
  ""valence"": 3,
  ""arousal"": 2
}
```",0.007627012186031633,3.872778258790605,3.2945180610416274,3.9351841267859933,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.004471528275191718,3.7810106375557866
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,2.4462069455921296,6.484739619284124,2,8,"```json
{
  ""valence"": 2,
  ""arousal"": 8
}
```",0.002150656639735689,3.3607089247013247,2.3775209489919975,6.550613427530468,2,8,"```json
{
  ""valence"": 2,
  ""arousal"": 8
}
```",0.002166582012824334,3.2798276110484132
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,2.8841751939906075,3.1841519960181306,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.00257878525415087,3.421564066733077,2.8731422648269986,3.9686289863896986,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.0031191811932182213,3.517459582985295
emobank_NYTnewswire9_10538_10589,"And then the casualties were going to be terrible.""",2.33,3.0,-0.3349999999999999,0.0,2.39434666030169,4.810670056722205,2,7,"```json
{
  ""valence"": 2,
  ""arousal"": 7
}
```",0.0016422722793536801,3.330311738918102,2.8096606927761827,4.822846869612195,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0028113409836290387,3.4949206181416144
emobank_SemEval_742,Floods force Malaysia evacuations,2.22,3.56,-0.3899999999999999,0.28,3.140593444131141,4.009152126470958,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.004660584015648053,3.5708013586340277,4.140157362001187,4.493057906746893,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.007597408048969858,3.8097509465866195
emobank_Ohio_Steel_12452_12560,"The people of Youngstown, being now unemployed had very little money to spend on anything but staying alive.",2.22,3.0,-0.3899999999999999,0.0,2.211059637224293,3.6173634058618616,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0021751141892275097,3.2098834789622566,2.3180918259774526,3.506006344259507,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0028918700759278143,3.235065598230796
emobank_SemEval_690,Now it's official: Iraq's a mess,2.18,3.46,-0.4099999999999999,0.2299999999999999,2.7034056913360174,4.361322398563258,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.004051480908541759,3.5575681726898107,2.716511144320901,4.705472031558759,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.005001972815850661,3.5127156667308217
emobank_Uprooted_Farming-on-Sand_1711_1753,Last year's rich loam is now useless sand.,2.3,3.0,-0.3500000000000001,0.0,2.600045204192143,3.294239571268397,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0024465138313890466,3.3404656311879513,2.638801950370068,3.3332436675212422,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0025671840357350735,3.235330773954034
emobank_SemEval_882,"Attack video saddens ""friendly fire"" widow",1.88,3.37,-0.56,0.185,2.4698403072669364,3.04052773272446,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0012108695354636984,3.042928177596037,2.416841686987795,3.4868769757791522,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0017686332541755078,3.185065688592321
emobank_wsj_2465_1041_1137,"An hour later, the paper's circulation manager, Miguel Soler, was shot and killed near his home.",2.0,3.18,-0.5,0.09,3.0723877632337557,6.612214169706521,2,8,"```json
{
  ""valence"": 2,
  ""arousal"": 8
}
```",0.0039367443910489144,3.646121969993886,2.7062874643133803,6.345100366331616,2,8,"```json
{
  ""valence"": 2,
  ""arousal"": 8
}
```",0.003216178941419353,3.461867670502729
emobank_Nathans_Bylichka_38054_38115,Get out of my sight now – unless you know how to put it back?,2.12,3.63,-0.4399999999999999,0.3149999999999999,2.8614183633385055,4.65413034822043,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.004902904083142342,3.710655807499571,2.95409453118309,5.426288430369029,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.004785465601523598,3.736541899480258
emobank_SemEval_920,Dozens killed in Baghdad bombing,2.0,3.62,-0.5,0.31,2.242873204026032,4.4450543570940075,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0012064977840686214,3.2003091573226654,2.495555074150208,4.870828477036334,2,5,"{
  ""valence"": 2,
  ""arousal"": 5
}",0.0019264711247529655,3.3154913016195446
emobank_hotel-california_30137_30157,"“No,” said Adrienne.",2.25,3.5,-0.375,0.25,3.1593975241805157,3.4171278320951095,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0038223563500029267,3.491447471873481,3.32314433036989,3.868423702149007,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.003153821736377784,3.5550660624431702
emobank_NYTnewswire9_9777_9839,"Three days later, another B-29 from the 509th bombed Nagasaki.",2.33,3.0,-0.3349999999999999,0.0,4.88154898869078,3.9967554038937987,6,4,"```json
{
  ""valence"": 6,
  ""arousal"": 4
}
```",0.005200552787533644,3.7477089651501334,5.43846014319547,4.561573545718117,7,4,"{
  ""valence"": 7,
  ""arousal"": 4
}",0.006550380706610534,3.7279875850175146
emobank_110CYL071_246_283,Michael was born with cerebral palsy.,2.14,3.14,-0.4299999999999999,0.07,2.848646466985928,3.1524724783507536,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.003297545514259034,3.311522213268316,3.895052422092982,4.095759823774874,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.009694896207404735,3.724803950035245
emobank_SemEval_679,Gunmen abduct Filipino woman in Nigeria,2.22,3.22,-0.3899999999999999,0.1100000000000001,2.2608993284660794,3.628889923207723,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0009341831785463191,3.0948491150918116,2.5485252521604402,3.8171077489180174,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.002069164936350444,3.2745446112510432
emobank_112C-L015_859_939,Many of the children have no homes; no memories of joy from past holidays.,2.12,3.25,-0.4399999999999999,0.125,2.1978812706454276,3.480155864745418,2,3,"```json
{
  ""valence"": 2,
  ""arousal"": 3
}
```",0.0017770884359441924,3.1699103664135353,2.247437689227471,3.9334147182454084,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0016426325827042763,3.2227797734644272
