id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",3.4903081178611486,4.393814342513113,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.0008353241046080258,2.0920040107435653,3.2355721954981824,4.001410447257094,1,1,"{
""valence"": 1,
""arousal"": 1
}",0.0006188503015265087,1.7635854015398469
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",4.979653184653545,5.344188942016682,5,5,"{
""valence"": 5,
""arousal"": 5
}",0.010261222415512363,3.268407340892678,5.182844393880106,5.720179119637079,1,1,"{
""valence"": 1,
""arousal"": 1
}",0.006681894294737918,3.0754846492291676
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",4.182760844010204,4.937423433811942,5,6,"{
  ""valence"": 5,
  ""arousal"": 6
}",0.0044461397540649155,2.3232536488902618,3.254722096829552,4.2802625018835245,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.003931591594212878,2.14202542297904
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,4.497366193633076,4.946371394097678,5,5,"{
""valence"": 5,
""arousal"": 5
}",0.005847720127830463,2.2202461310955526,4.294533313199102,5.119388906269142,1,1,"{
""valence"": 1,
""arousal"": 1
}",0.0035794386596580217,2.1250677225341885
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",2.326662692873807,3.8736781604156927,5,5,"{
""valence"": 5,
""arousal"": 5
}",0.0005753569171635173,1.946180026624848,2.1348985539995318,2.7764641041644285,1,1,"{
""valence"": 1,
""arousal"": 1
}",0.0013619830918865613,1.5859093715492512
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",4.775552036522123,5.967858317658507,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.0020272032261682386,2.6010654290602933,3.393551175825653,5.7516056398649615,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.0004361361963247139,2.2135857755628328
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,2.558844928856259,3.8239075940345035,5,5,"{
""valence"": 5,
""arousal"": 5
}",0.0022821133578710536,2.3117305305270293,2.6524595571587066,3.638888388438665,1,1,"{
""valence"": 1,
""arousal"": 1
}",0.003227398382556577,2.312993028842968
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",1.729008137171367,4.266487260341915,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.0004534219667291612,1.578189437878616,1.6790377087292783,3.0818003998653856,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.0004558021540926213,1.4366045502853833
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",3.5098627386442844,4.8707661357906105,9,9,"{
""valence"": 9,
""arousal"": 9
}",0.0008033105046803869,2.222069472557869,3.651152516331936,4.829864571317934,9,9,"{
""valence"": 9,
""arousal"": 9
}",0.0007360668417083298,2.3671007377368185
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",3.6912880297600785,4.325527483177771,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.003155299659102667,2.4030770310029097,3.5275573025348574,4.263381942491282,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.002768776651249388,2.244315142020096
