stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,5.150557548982631,5.261055825681034,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.010614964667567256,4.13723134258202,5.228551553759712,5.645354352589605,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.010635126882642764,4.1191349741646315
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,3.847856596551171,5.183744608655523,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.019369716797063546,3.92105978107063,3.7816311113869405,5.726266993818232,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.01180939915750339,3.913261327013547
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,4.264435965048229,4.642418972951702,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009501558401588405,4.0874247211905494,4.2383314338943245,4.924548004348424,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009044239845029056,4.083793596540604
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,4.731305703003098,4.698084641677502,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.013079724569651688,4.11942683604443,5.087486296119485,5.237358577730949,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.014771785113211026,4.157901621152464
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,4.412352688623598,5.4910369051243535,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.008449834465802669,4.0837257338385236,4.097204370617707,5.8934603045295555,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.006685356284780029,4.00482892191076
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,4.359729233438373,5.015438132125074,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.011395591467884337,4.094867716880117,4.317170622685395,5.1416935627694045,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.010506452864743344,4.077442020432775
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,4.513327809251202,4.855130127396841,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009922070158243998,4.122215230186433,4.616724268739791,5.219999480843962,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.009115713387593665,4.0956166407944865
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,4.540257879299533,5.347471372969074,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.012173164597701241,4.179789888992321,4.537254977245818,5.30627868750973,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.009559780160684301,4.187926564078487
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,4.700649138253892,6.440937060438346,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.006048376461550308,3.9831134226693194,4.235833571091147,6.423342402985604,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.7
}",0.004967116952038104,3.9140212519155257
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,4.48600899753763,4.761124591814522,0,0,"{
  ""valence"": 0.5,
  ""arousal"": 0.5
}",0.010611730242429921,4.164972932922007,4.546108069842117,5.368392526009935,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",0.008340074234486617,4.141527804931712
