id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,5.208575917884291,5.404816229425916,5.457144470636464,5,5,5,0.1032466047460445,5.1706471180077935,5.46739039054995,5.222457410175556,5,5,5,0.12301300939745997,5.235661748992367,5.594549300908255,5.486624690192018,5,5,5,0.09082832580561116
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,5.756253496464305,7.138928659506054,6.759862956743404,5,8,7,0.008275909316640458,5.596507190448358,6.9731960918666305,6.289755560788499,5,8,7,0.0170316253527682,5.866818705681467,7.293049251555031,6.726992098053196,5,8,7,0.0069713503128616214
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,5.527651396052677,6.585832929446043,6.569236877755029,5,8,7,0.021088053599772637,5.423184783801748,6.483191316139583,6.129744891510475,5,7,5,0.03434718874727368,5.590948323231343,6.86154760932555,6.567636339978092,5,8,7,0.016229164332681126
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,5.504403058858593,6.529989653304535,6.179908363958252,5,8,7,0.02819826003863807,5.452700352548415,6.516903820754696,5.981990335925801,5,7,5,0.029881107974354476,5.517801026777254,6.82187638307053,6.230320159816971,5,8,7,0.019389710474182826
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,5.671559758642466,6.109171243218402,5.637244329235685,5,5,5,0.05881363328093434,5.5449536242736075,6.0056706266672855,5.260293419854193,5,5,5,0.0645202050917031,5.64415354813085,6.153277519541391,5.3996386724270975,5,5,5,0.057073111070853756
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,5.519902389354282,6.435259900104573,6.1976712185391,5,7,6,0.029385512103429316,5.386888363873879,6.17025668813027,5.6900595850748745,5,7,5,0.049368878510270726,5.539102189591937,6.504877357546361,6.139007540656482,5,5,7,0.03005499745708072
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,5.589402295721348,5.514553917071733,5.570272371216861,5,5,5,0.045808747527969734,5.469558482764786,5.523382075478529,5.39839822858022,5,5,5,0.05406522397422661,5.650583954124638,5.833502050214668,5.599801728336672,5,5,5,0.0356890758163823
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,5.598303632588683,6.5900833397766165,6.568285926526616,5,7,8,0.019436334243882837,5.604412955218409,6.505003716749944,6.470883633761339,5,5,7,0.026674320595207315,5.6081469403273445,6.662166629186241,6.504545124513377,5,8,7,0.01998361771941852
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,5.568015161602936,6.716386899344418,6.06547174338225,5,7,5,0.030119411982977948,5.477014618668004,6.684011020741149,5.617045137809973,5,7,5,0.03670010684212644,5.579755238912948,6.861731410379902,5.954293209764515,5,8,7,0.027120085488180342
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,5.440691810956839,5.836343267750499,5.546727108036685,5,5,5,0.07583452460447963,5.293744267016716,5.800628906833814,5.3543453694605345,5,5,5,0.08098285731008185,5.336884167099946,5.986966005818372,5.598929696655128,5,7,5,0.07038330574301939
