stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,3.535606945249083,7.000130279055362,3,7,"{
""valence"": 3,
""arousal"": 7
}

This text is likely",1.0470723464591183e-08,0.7306466529978317,3.650476898269709,6.240035034988868,2,7,"{
""valence"": 2,
""arousal"": 7
}

This text conveys",0.00013601255431700736,1.8981939202512028
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,3.66336300448078,5.649657632875858,4,6,"{
  ""valence"": 4,
  ""arousal"": 6
}",8.131616171820873e-09,1.1954964059415367,2.4660427994514458,5.690766678493602,3,7,"{
  ""valence"": 3,
  ""arousal"": 7
}",3.530531323142057e-12,1.3559546615052667
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,1.4630268788628493,5.0772598033711995,2,5,"{
""valence"": 2,
""arousal"": 5
}",2.4726834094871245e-12,0.9906763905722372,1.6587440095875552,4.995040687252919,2,5,"{
""valence"": 2,
""arousal"": 5
}",5.498167900040364e-10,0.9475337879046664
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,4.969484836911842,2.995130383405308,5,3,"{
""valence"": 5,
""arousal"": 3
}

The text is neutral",1.8773976385686225e-05,0.22779297754931618,4.889512110887193,3.0807550825156413,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}

The text",0.0003393888986352754,0.5139358540538332
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,2.4147664379976663,6.232226795861929,2,5,"{
""valence"": 2,
""arousal"": 5
}",4.5814901956987384e-11,1.7548326698909478,2.6182814335193654,6.538487152920757,3,7,"{
""valence"": 3,
""arousal"": 7
}",2.2118498818645216e-11,1.5082166138725472
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,1.8291925701297411,6.047072520623816,2,7,"{
""valence"": 2,
""arousal"": 7
}",2.4398470258949892e-11,1.9238918912429817,2.2261413450771084,5.103231742150941,2,5,"{
""valence"": 2,
""arousal"": 5
}",9.120124963865528e-09,1.1755971254945699
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,4.97693442972569,1.7429456050313163,5,1,"{
  ""valence"": 5,
  ""arousal"": 1
}

The text",7.486770743776145e-07,0.8269928332277319,4.981244177683378,1.1029976037145133,5,1,"{
  ""valence"": 5,
  ""arousal"": 1
}",3.130425737135233e-07,0.30055211904330803
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,2.4561259717408688,4.429145178715924,2,5,"{
""valence"": 2,
""arousal"": 5
}",4.1375285129892774e-08,1.6549520338723005,2.4350900601595664,3.327990038221908,2,3,"{
""valence"": 2,
""arousal"": 3
}",4.0485515558133314e-10,1.7943145732872106
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,1.0002073445399942,8.99372854291783,1,9,"{
  ""valence"": 1,
  ""arousal"": 9
}",1.8922298667521002e-17,0.038953393803796366,1.0005640817982657,8.997355555632954,1,9,"{
  ""valence"": 1,
  ""arousal"": 9
}",4.459302960622343e-16,0.019909242049339748
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,4.976678783043413,3.037344558933191,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}

The text",0.00015645500971283544,0.1611679925575011,3.2957039824116947,4.891670818518279,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.012263697130696178,1.3242866074685071
