id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",3.3952633463420403,4.087648943160913,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",6.928308249177848e-05,3.145541088080143,3.133087954937131,3.4002011137838806,3,2,"Here is the report in JSON format:

{
  ""valence"": 3,
  ""arousal"": 2",2.1673844252677514e-05,2.832304067793689
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",4.683316257108385,3.610443072685315,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",5.1219663882121794e-05,3.241249873156576,3.7397953978472582,3.6296327469999667,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",2.34533887596559e-05,3.1924048711729123
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",3.114603076326117,3.10719231332299,2,5,"Here's my analysis of the text:

```json
{
  ""valence"": 2,
  ""arousal",7.474658450563532e-06,2.7622502597956213,2.7481655270640166,3.0953328925978516,2,3,"Here's the report in JSON format:

{
  ""valence"": 2,
  ""arousal"": 3",2.1316494181271775e-05,2.8081979055296737
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,2.856370156918174,3.451473019305279,3,5,"Here's the analysis of the text in JSON format:

```
{
  ""valence"": 3,
  ""ar",5.3492372495317794e-06,2.5359209043544007,3.0309700797012673,3.076020794259526,3,2,"Here's the report in JSON format:

{
  ""valence"": 3,
  ""arousal"": 2",4.035174819721878e-06,2.6509381872358158
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",3.0077614768342023,2.959011318374998,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",1.1231253766907208e-05,2.4112670967034697,2.9483111625983596,2.947824605556714,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",8.25802418548714e-06,2.263359869646014
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",3.6721482328422193,3.992204198561459,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.00010550821822605076,3.1650428246204756,3.568913972100667,4.161800817123548,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.00018372784132393786,3.307703951038457
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,3.9995107757845223,3.5509667904462825,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",2.3970090298705168e-05,3.0292814988011334,3.3537525478049504,3.561345212599509,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",1.2077959805127347e-05,2.998434226856578
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",3.898305198013323,4.274501718850128,3,8,"{
  ""valence"": 3,
  ""arousal"": 8
}",0.0001689386016078446,3.440432403458746,3.3323629053592687,4.414433942243514,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",8.182262053395239e-05,3.2605850339112594
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",3.191834525182743,3.4740358894266725,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",8.384512052450773e-05,2.838025736692919,2.9882499180755717,3.374309346506303,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",5.467954994852897e-05,2.7010319724142446
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",3.483748289244448,3.7049999251131007,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",6.666469727430215e-05,3.1337135227046065,3.1551184281677984,3.546146279155003,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",3.178635638530092e-05,2.9794532761560673
B-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,peak,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",4.6464810220229165,3.1532518020860087,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",9.982828374540789e-05,3.1610382176430476,3.454739196166126,3.310170703169337,3,2,"Here is the report in JSON format:

{
  ""valence"": 3,
  ""arousal"": 2",7.372669872858857e-05,2.9586765143000817
B-ecstasy-d3-v1,N-ecstasy-d3-c1,affective,peak,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",3.8721854726951537,4.038176377873581,3,8,"{
  ""valence"": 3,
  ""arousal"": 8
}",0.00014450123367509165,3.383304380401433,3.2988587934829066,4.377627881115124,3,8,"{
  ""valence"": 3,
  ""arousal"": 8
}",0.0001391606879484935,3.3386445627477697
B-ecstasy-d3-v2,N-ecstasy-d3-c2,affective,peak,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",5.0351087735066145,4.174915026390095,6,2,"{
  ""valence"": 6,
  ""arousal"": 2
}",0.0003865253524316423,3.5020393135361427,3.8065473484341075,4.312176471803429,6,2,"{
  ""valence"": 6,
  ""arousal"": 2",0.00019483829419567186,3.4617206917609837
B-loathing-d1-v1,N-loathing-d1-c1,affective,peak,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",3.8131553745317706,3.4361456335880947,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",7.53937757518182e-06,3.041067592560553,3.3217211401931426,3.448677323460754,3,2,"{
  ""valence"": 3,
  ""arousal"": 2",9.607723708318477e-06,3.071953838484442
B-loathing-d1-v2,N-loathing-d1-c2,affective,peak,"The factory had passed inspection every year for a decade. The inspector's brother-in-law managed the plant. This was in the public record, in a filing that no one had cross-referenced until a reporter did. The workers' medical claims were also in the public record. Respiratory conditions at four times the regional average. The factory's ventilation system had been listed as ""upgraded"" in each annual report. A photograph of the ventilation system, taken the week before the most recent inspection, showed the same unit installed in 2014, with the same serial number, with the manufacturer's original warranty sticker still attached.",3.085146201446161,3.445106485173302,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",1.625786065558584e-05,2.894550896772471,2.9374755575211995,3.3677159708992126,2,1,"{
  ""valence"": 2,
  ""arousal"": 1
}",1.0312016200985632e-05,2.870982700473653
B-loathing-d2-v1,N-loathing-d2-c1,affective,peak,The apartment had been vacant for six months before the new tenant opened the door. The previous occupant had not taken anything and had not cleaned anything. The kitchen counter had dishes with food that had changed color and shape and was no longer identifiable as what it had once been. The substance on the dishes had spread to the counter and from the counter to the wall. The refrigerator door was slightly open. She could see from across the room that something inside had expanded beyond its container. The air in the apartment had a weight to it. She turned around in the doorway without stepping onto the floor.,3.09998340856499,3.902924259578262,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",5.7527874597141386e-05,3.0149228517240427,2.886338592114276,3.644722948040087,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",2.1204170920586606e-05,2.902394734560117
B-loathing-d2-v2,N-loathing-d2-c2,affective,peak,"The restaurant kitchen was visible through a door that should have been closed. He saw it because he had gone looking for the restroom and turned the wrong way. The cutting board had residue from multiple uses without washing — layers of color, each one a different meal from a different hour. The floor near the sink had a film that reflected the overhead light. A container of something that was being used as an ingredient was open on the counter, and the surface of the contents had a texture that did not match what the label described. He walked back to the table. His plate was still there. The food on it was the same food prepared in the room he had just seen. He put his napkin over the plate.",3.2023364099159197,3.9680087055789075,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",4.151548933498353e-05,3.049422590084758,2.9477316027773104,3.819384112803549,3,2,"{
  ""valence"": 3,
  ""arousal"": 2",1.616082793364714e-05,2.901825802995086
B-loathing-d3-v2,N-loathing-d3-c2,affective,peak,"The politician had campaigned on clean water. Three terms, twelve years, clean water in every speech. Her voting record was public. She had voted against the water treatment funding bill four times. Each time, the bill had failed by one vote. Her financial disclosures were also public, though they required cross-referencing with corporate filings to understand. The company that supplied the untreated alternative — the cheaper process, the one the bill would have replaced — had paid her consulting firm a retainer for eleven of the twelve years. The consulting firm was registered to her home address.",3.191646811486175,3.279904961277339,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",1.4649338179247045e-05,2.812392475606879,3.143945326499421,3.2540678283132807,2,5,"Here's the report in JSON format:

```
{
  ""valence"": 2,
  ""arousal"":",1.1073016276582296e-05,2.913854566740055
B-amazement-d1-v1,N-amazement-d1-c1,affective,peak,"She had pulled over because the road was too dark to drive safely. When she got out of the car to check the tires, she looked up. The sky was moving. Green light was crossing the entire visible horizon, folding over itself in shapes that changed faster than she could track. She had read about this. Reading about it and seeing it were not the same category of experience. The light had structure — curtains, columns, ripples that moved like fabric in wind, except there was no fabric and the scale was the size of the sky. She stood in the road. A car passed and honked. She did not move.",3.532341655559548,3.266186097842926,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",6.863809516967381e-05,3.0487528946928,3.029967842311778,3.288555487540394,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",3.2146034848795284e-05,2.840880509586089
B-amazement-d2-v1,N-amazement-d2-c1,affective,peak,"The building was on fire from the fourth floor up. The crowd was behind the barrier. A woman on the fifth floor was holding a child out the window because the room behind her was no longer a room. A man from the crowd went under the barrier. He went into the building through the front entrance. The crowd watched the entrance. Forty seconds later, the man appeared at the fifth-floor window. He took the child. The woman climbed out onto the ledge. The three of them came down the fire escape on the side of the building that was not yet burning. The man set the child on the sidewalk and sat down next to it. He was wearing office clothes and carrying a paper coffee cup. He still had the coffee cup.",3.642283660507413,4.03922012073454,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",4.497818934019051e-05,3.235908800049119,3.3372273467841462,4.202024106621902,3,6,"{
  ""valence"": 3,
  ""arousal"": 6
}",3.544869588300939e-05,3.297877839654564
B-amazement-d2-v2,N-amazement-d2-c2,affective,peak,"The pianist had lost the use of her left hand in an accident nine years ago. The program listed the piece as a concerto written for two hands. The audience read the program and looked at the stage and looked at the program again. She sat down and placed her right hand on the keys. Then she played the concerto. She played both parts — the left hand's part rearranged across the right hand's range, the melody and the harmony woven into five fingers doing the work of ten. The notes were all present. The structure was intact. She had rebuilt the entire architecture of the piece around what she had, and what she had was enough. The last note ended and the hall was silent for four seconds before anyone responded, because what they had heard required those four seconds to become something they believed.",4.182100963415054,3.7430045256931197,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.0001426388073501945,3.4468411245103177,3.494025182582798,3.8169033131879995,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",9.408218847352543e-05,3.320045806690524
B-admiration-d1-v1,N-admiration-d1-c1,affective,peak,"The apprentice had been watching the glassblower for four years. In four years he had never seen her repeat a motion unnecessarily. Every movement of the pipe, every rotation, every breath into the molten shape was the exact movement required and nothing more. Other glassblowers compensated — adjusting, correcting, recovering. She did not need to recover because she did not make the error that required recovery. He had timed her once, secretly, with a stopwatch, comparing her to the videos of the masters in the guild archive. She was faster. Not because she moved quickly, but because she never moved twice where once was enough. He had been her apprentice for four years, and in four years the distance between his craft and hers had not closed. It had become more visible.",4.788073576966644,3.385642804853604,7,2,"{
  ""valence"": 7,
  ""arousal"": 2
}",8.777119478513843e-05,3.1966337819223836,3.9200570188566903,3.4374876087281057,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.00011323495221405645,3.3300513120990893
B-admiration-d2-v2,N-admiration-d2-c2,affective,peak,"The woman had been fostering children for twenty-two years. Not the easy placements. The ones the system called ""difficult,"" which meant: the ones who had learned that adults leave. She had taken in forty-one children. Some stayed for months. Some stayed for years. Every one of them left, because that was the structure — foster care is temporary by design. She set the table for them. She learned what they would eat and what they wouldn't. She kept their drawings on the refrigerator and she did not take them down when the children left. The refrigerator was covered, layered, years deep. A caseworker once asked her how she did it — the repeated attachment and loss. She said she didn't do it for herself.",3.9765028027266704,3.1985037108734553,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",7.269185305118396e-05,3.1977516693193926,3.4690987051422177,3.261599709920731,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",6.066042411563986e-05,3.1945791608653975
B-admiration-d3-v1,N-admiration-d3-c1,affective,peak,"The woman had rebuilt the house herself. Not with a crew. By herself. The flood had taken everything below the waterline, which was everything — the floors, the walls to four feet, the wiring, the plumbing. Insurance had covered a fraction. She was sixty-seven years old. She watched videos on the internet and she went to the hardware store and she asked questions until she understood the answers, and then she did the work. It took her fourteen months. The building inspector who signed off on the final permit said the wiring was better than what had been there before the flood. She had learned how to do it correctly by doing it for the first time. Her neighbors had offered to help. She had thanked them and done it herself, not out of stubbornness, but because she wanted to know that she could.",4.767369892336433,3.3336955626837734,7,2,"{
  ""valence"": 7,
  ""arousal"": 2
}",0.00010748591008178014,3.403149821645966,3.6775967558085214,3.4212580826483663,6,2,"{
  ""valence"": 6,
  ""arousal"": 2
}",0.0001588071165682986,3.517314325922733
B-admiration-d3-v2,N-admiration-d3-c2,affective,peak,"He had been rejected from the program seven times. Seven applications, seven years. Each year, the letter arrived in March. Each year, the letter said no. Each year, he revised the application — not cosmetically but structurally, tearing apart what he had built and rebuilding it from the foundation. He did not know if the committee noticed. He worked during the day as a technician in the same building where the program operated, and he passed the offices of the people who had rejected him every morning on his way to the equipment room. On the eighth year, the letter said yes. He was forty-one years old. He had been twenty-seven the first time he had stood at the threshold of this work. He had not once walked a different direction.",3.117998972766919,3.1544811673635076,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",8.586409457047995e-05,2.994133445488436,3.1092159869202884,3.114292346914758,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.00014649954850543548,3.1555345168323714
B-vigilance-d1-v2,N-vigilance-d1-c2,affective,peak,"His daughter was learning to ride a bicycle. She was at the top of the hill. The hill was longer than he had estimated from the bottom, and the grade was steeper in the middle section where the pavement had a crack running across it. He was standing at the bottom, but not at the very bottom — he was at the point where the grade increased, because that was where she would begin to accelerate beyond what her brakes could manage. He had already checked the brakes. He had checked them twice. A car turned onto the street two blocks away. He noted it. It was moving slowly. He watched his daughter and he watched the car and he calculated the intersection of their two trajectories and he moved four feet to his left, which put him between the trajectories.",4.204156380288115,3.6029204705020765,6,2,"{
  ""valence"": 6,
  ""arousal"": 2
}",5.668507040132913e-05,3.1235693724046945,3.6854035825492373,3.8691409443733953,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",4.2836558780806654e-05,3.1402541107510005
B-vigilance-d2-v2,N-vigilance-d2-c2,affective,peak,"The negotiator had been in the room for seven hours. The man on the other side of the door had not spoken in the last forty minutes. Silence after sustained communication was the pattern the negotiator tracked most carefully, because it was the interval in which decisions were made. He had a diagram in his notebook — a timeline of every word, every pause, every noise from inside the room, marked by minute. The forty minutes of silence had a shape. The first fifteen had ambient sound — movement, objects being shifted. The next ten had stillness. The last fifteen had a single repeated sound at irregular intervals. He was listening to the intervals between the repetitions, because the intervals were getting shorter, and shortening intervals meant the pattern was approaching a conclusion.",4.225148499385798,3.517796490037009,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",9.419213038398499e-05,3.244257667354129,3.6523399878067324,3.649301927659099,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",6.456985013989882e-05,3.282029423783414
B-vigilance-d3-v1,N-vigilance-d3-c1,affective,peak,"The ranger had been sitting in the blind since 4 a.m. The radio report at midnight had placed the injured male within two miles of the village boundary. The animal was wounded, and wounded animals do not follow established paths. It was moving toward a populated area, which made it a priority. She had a map with twelve-hour, six-hour, and one-hour probability circles drawn in concentric rings. The one-hour circle included the path she was watching. The ground was dry, which meant tracks would be shallow and easy to miss. She had positioned herself downwind. Every six minutes she scanned left to right through the binoculars, then listened for thirty seconds with them down. She had been doing this for five hours. The pattern had not varied. The coffee thermos was behind her, unopened, because opening it would create a scent plume.",3.673577002054487,3.0691894503273995,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.00010730489448456262,3.061107305403716,3.2235553977763445,3.0990470035132622,3,2,"{
  ""valence"": 3,
  ""arousal"": 2",0.00011563840632399846,3.1339810318135815
Bm-rage-d1-v1,N-rage-d1-c1,affective,moderate,"The credit card statement showed a charge from a restaurant he did not recognize — four hundred dollars, posted on a Saturday. His brother had the supplementary card for emergencies. He checked the date. His brother had mentioned going out that weekend but hadn't said anything about the card. There might have been a reason. There usually was a reason. He pulled up the previous three months and found two more charges he couldn't place, smaller amounts, both on weekends. He set the statement on the counter and left it there while he made dinner.",3.553664826912931,3.578674606042506,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",2.02084727483733e-05,2.9091558874941534,3.32823140886834,3.651398783515316,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",2.64682530074701e-05,2.925375932132349
Bm-rage-d1-v2,N-rage-d1-c2,affective,moderate,"The joint account was short by twelve hundred dollars. Her sister had access for the shared household expenses — utilities, groceries, the quarterly insurance premium. The withdrawal had been made at an ATM across town, not near any of the usual vendors. She looked at it for a while. Her sister had been between jobs for two months, and they hadn't talked about whether the arrangement still worked the same way. The amount was not large enough to change anything permanently, but it was large enough that someone should have mentioned it. She closed the banking app and opened it again ten minutes later.",4.469945758595827,3.5595927905723737,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",3.9210640133907306e-05,2.953061371876069,4.044710046410546,3.9221946394874774,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",8.414294766811081e-05,3.079923039998103
Bm-rage-d2-v1,N-rage-d2-c1,affective,moderate,"The permit had been denied for the third time. Each time for a different reason — first incomplete documentation, then a zoning question, now a signature from a department that had moved offices and did not answer its listed phone number. The project was a wheelchair ramp for his mother's front door. The ramp itself would take a contractor two days to build. The permit process was now in its fourth month. His neighbor across the street had built a similar ramp the previous year and told him it had taken two weeks. He filed the appeal online and printed the confirmation page and put it in the folder with the other two.",2.637941257574589,3.77549977690328,2,5,"Here's the analysis of the text in JSON format:

```
{
  ""valence"": 2,
  ""ar",6.472506141729924e-06,2.4948749939690815,2.8262037505607434,3.4337257373375345,2,5,"Here's the report in JSON format:

```
{
  ""valence"": 2,
  ""arousal"":",1.4824110562458681e-05,2.6733499441930917
Bm-rage-d2-v2,N-rage-d2-c2,affective,moderate,The insurance company had reclassified the claim. What had been approved in October was now listed as requiring additional review — a review that could take up to ninety days. The procedure had already been completed. The doctor's office said this happened sometimes when billing codes were updated mid-quarter. She called the number on the letter and was transferred four times. The fourth representative said the file showed no record of the original approval. She had the approval letter in front of her. She read the reference number aloud. The representative said he would note that in the file.,3.397953381361404,3.5883452701572605,3,5,"Here's my analysis of the text:

```json
{
  ""valence"": 3,
  ""arousal",3.476540097169284e-05,2.869304828611747,3.1904876861310485,3.7190933112418465,3,2,"Here's the report in JSON format:

{
  ""valence"": 3,
  ""arousal"": 2",4.3975793750958195e-05,2.9689621982380796
Bm-grief-d1-v2,N-grief-d1-c2,affective,moderate,"The automated renewal notice came in the mail — his magazine subscription, addressed to him, the label printed months ago by a system that did not know. She had cancelled most of the accounts in January. This one she had missed, or perhaps she had left it. The magazine arrived every six weeks, slipped through the mail slot and onto the floor where it sat until she picked it up and placed it on the stack by his chair. The stack was five issues tall now. She added the renewal notice to the top and went to make lunch.",4.008445330527906,3.5423202839086554,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",1.54663654416062e-05,3.0191059648378453,3.1678409092578126,3.752083630860596,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",1.2102345136319283e-05,2.9080553195250562
