id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,5.508727637903316,5.985207901241527,5.73332398773085,5,5,5,0.06913976615856399,5.371216187259517,5.679675111573461,5.364760030136486,5,5,5,0.07843727960765635,5.550738109936874,6.001492858251505,5.513123600311839,5,5,5,0.052615585712675085
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,5.8997430503166575,6.92662606061389,6.404286315987466,5,8,7,0.03214558404807253,5.58722280808349,6.195330276547602,5.6442154166088505,5,5,5,0.06960586360267021,6.073029961420782,7.111193755011342,6.2436184126554455,5,8,7,0.022619810115415993
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,5.333787468819473,6.1745935970555825,5.864484579389702,5,5,5,0.0677648800031038,5.175972891977278,5.553331657234003,5.220691995093784,5,5,5,0.08356006807687479,5.16517835030257,5.7385143653810005,5.280477645171982,5,5,5,0.07606213274387177
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,5.6096226325616145,6.149311486588184,5.527313080459132,5,5,5,0.070849824611772,5.450809602786829,5.771131375881085,5.0481359799722885,5,5,5,0.09249320411131472,5.633979916988561,6.212161075759832,5.245060535086609,5,5,5,0.06690888010285864
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,5.422680958328809,6.195275911644114,5.8312683664839335,5,5,5,0.0992777517521592,5.312425579106252,5.913687925689181,5.504541949913349,5,5,5,0.10164830944283379,5.537541310740012,6.317127405210814,5.661610345683552,5,5,5,0.08161314202748779
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,5.450943919355087,6.113597140105847,5.696140795762199,5,5,5,0.09513956112527241,5.349276881368942,5.847205079141298,5.265390354836958,5,5,5,0.09109470426183056,5.598987887912114,6.295519836129138,5.4897320168136,5,5,5,0.07938893289539296
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,5.454027828422041,6.697233330574956,5.968990253789851,5,8,7,0.05897797135390879,5.398132177709093,6.079156962375055,5.368951621867664,5,5,5,0.08679032415646033,5.608808974104657,6.666237483520374,5.547016793555444,5,5,5,0.06482158535920574
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,5.314225366258156,6.171973049810247,5.754887415373178,5,5,5,0.07328637397091928,5.25267448193776,5.742207810831557,5.395706810504585,5,5,5,0.09291414329372297,5.472619446346192,6.311617680142691,5.721835657896117,5,5,5,0.05680965699312475
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,5.927234472292924,7.37825918975602,6.311424149241596,5,8,7,0.027188920507937385,5.682656000251993,6.871253636867274,5.682984886931043,5,7,5,0.05704285111986081,5.995884495649097,7.543726543577662,6.066416173610685,5,8,7,0.017808767353578916
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,5.6665432746256075,7.13941224944403,6.6975862546665,5,8,7,0.016064456899060928,5.5631434816011165,6.775629684387426,6.108383628138491,5,8,7,0.026582252581903294,5.64793366707197,7.27637809134184,6.42015841085432,5,8,7,0.017758964936119365
110CYL071_1962_2031,"The savings are counted in more ways than dollars and cents, however.",3.0,2.2,3.2,3.0,2.67,3.67,5.490130454593425,6.3563572269333735,5.869533525328961,5,5,5,0.09011589697047843,5.419423571363374,6.03895539021396,5.492386673736727,5,5,5,0.09961387872431579,5.5807907434704385,6.454189188160453,5.598549972272856,5,5,5,0.09001174729314416
110CYL071_2392_2518,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,3.6,3.0,3.2,3.6,3.4,3.0,5.583987508134374,6.525777935299745,6.179923975237614,5,5,5,0.06469314112505431,5.391127108933543,6.114560775004601,5.639365829854982,5,5,5,0.07865089560901044,5.678002873107831,6.916964536005106,6.1494863571177945,5,8,7,0.05071692528950398
110CYL071_246_283,Michael was born with cerebral palsy.,2.0,3.5,2.5,2.2,3.0,3.0,5.3425369944729,6.283638343396058,5.795287495433705,5,5,5,0.07054489642820376,5.312610532693976,6.005914062446073,5.250822889999683,5,5,5,0.09068665428738808,5.305613953874454,6.291784744409098,5.442569064837416,5,5,5,0.062149957199006886
110CYL071_458_550,His most recent job lasted only a year before cut-backs eliminated his position.,2.75,3.0,3.0,2.0,3.0,2.75,5.094924246665469,5.0766903297236485,4.927315154158005,5,5,5,0.17625841773397366,5.10399944219303,5.050461888743156,4.728993283032745,5,5,5,0.15508817412397796,5.119178369648711,5.0917668509191225,4.7518718644472955,5,5,5,0.15669421217855203
110CYL071_606_664,He resorted to public assistance dollars to survive.,2.6,3.2,3.0,2.8,3.0,3.2,5.179009351307108,5.747089104853348,5.111708824599766,5,5,5,0.12448951385811453,5.135884018425805,5.563477725089223,4.713051420526031,5,5,5,0.12322565151841813,5.221560943245929,5.8345102285011174,4.9757294340768246,5,5,5,0.11015874610263696
110CYL071_665_698,"Finally, Michael called Goodwill.",3.0,3.2,3.0,3.2,3.0,3.0,5.429561102394853,5.690909355013963,5.274995041584481,5,5,5,0.10466186124060128,5.290103615675627,5.400627408517516,4.929820330794934,5,5,5,0.110311296894441,5.470217770474401,5.648917048330572,4.977076224359456,5,5,5,0.09658524568931492
110CYL200_1611_1668,"Some are blind, deaf or have other physical disabilities.",2.8,3.0,3.0,2.0,3.0,3.0,5.271213892490466,6.107664668007625,5.621066271207713,5,5,5,0.08993624161295707,5.234828525230785,5.767143904256683,5.08937889350087,5,5,5,0.1121427155004959,5.269790556562546,6.20645592380713,5.439457963949337,5,5,5,0.0727115646808308
110CYL200_2548_2558,"Sincerely,",3.25,3.25,3.0,3.2,3.0,3.2,5.425267673252932,6.047306836782932,5.7606735505179465,5,5,5,0.09213833984463629,5.317999280248384,5.745769905031981,5.4082956097554185,5,5,5,0.09857194280764695,5.63228914898426,6.273649098613671,5.61069403082137,5,5,5,0.067918204624397
110CYL200_481_588,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,2.8,3.0,3.0,3.2,3.0,3.0,5.614778449606928,6.321532239246928,5.584299671453269,5,5,5,0.06881078092140244,5.399018179403381,6.063811251441923,5.195398312970389,5,5,5,0.09251435742026719,5.5677727343990355,6.5186114384043945,5.476774207464421,5,5,5,0.0620407166179213
