id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,4.660929675609933,5.282558116889034,4.623284332475459,1,1,1,0.006516394753008002,4.603758797302668,5.688119767526889,4.535161436360436,5,7,3,0.005609998877198045,4.934657123652148,5.305164481756976,4.375943515269077,5,7,3,0.008661090182486756
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,6.215059919549771,5.2920393738082785,4.633860603405438,8,6,5,0.005109776838312144,6.223763138184473,5.694237149903022,4.531363954423879,8,6,3,0.004775617509997215,6.014441231874989,5.087891524096698,4.579554670064578,1,1,1,0.005602280065953123
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,5.48519428344717,4.369546943707167,4.371639768434742,1,1,1,0.006523835864416308,5.337094760616009,4.783678594969126,4.237985929424269,1,1,1,0.006664435216475512,5.472931980599962,4.360891995169309,4.391547896382748,1,1,1,0.006015357914323473
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,4.749191181149181,4.09027189687757,3.9547930027450544,1,1,1,0.004490060096842739,4.537330196384463,4.261156798094841,3.8376635498825804,1,1,1,0.004130778551563475,4.8787078366549785,4.027124343321612,3.8729534881330947,1,1,1,0.005760340034340019
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,4.691726484258489,4.070401437757258,4.606544859766584,3,3,3,0.011739399992871793,4.805525722858666,3.58263454659148,4.28374432389689,3,3,3,0.00664136221891661,4.866355014781623,3.7438960364348515,4.456143605138584,3,3,3,0.011534479410594491
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,3.920893975216586,4.387149438947088,4.259405670657112,1,1,1,0.005672721359619037,3.645456419982849,4.665060298451311,4.225578005058638,1,1,1,0.00437509326030094,4.653203411246417,4.610405363064139,4.368131005901455,1,1,1,0.008103946362472475
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,4.843416842953727,5.192571126991139,4.274407991922671,1,1,1,0.005140479558243016,4.806451131401081,5.352271285940684,4.1908917064546465,1,1,1,0.004859516390658211,5.358309035565906,5.225829189181414,4.254431070591852,1,1,1,0.0060780266618796035
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,4.760978804111125,4.490474520410427,4.556441715146655,1,1,1,0.006073051247960775,4.379740697641572,4.410277959641506,4.368920161576574,1,1,1,0.0055371676302403885,4.919062254645579,4.421290163620866,4.497503162580604,1,1,1,0.006893670582464641
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,4.671746247802763,4.153840283608821,4.052436935845591,1,1,1,0.006491434865664463,4.423992080274175,4.497925483590051,3.9079821260156633,1,1,1,0.005450092313178966,4.999521373518858,4.20543000601247,3.9168051562155775,1,1,1,0.00896560781806389
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,4.535331743515548,3.6988427017486436,4.0227338457858774,1,1,1,0.007276269863077446,4.566399880580769,3.6570353861404388,3.830990796900681,1,1,1,0.007232909454996312,4.545679352271808,3.352548712100921,3.7851417822982647,1,1,1,0.008074252866133277
