id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,6.5738411394202885,3.7654603569991667,3.9577467601902865,9,2,5,0.00010387821217150654,6.8764056093815356,4.551235392428754,3.7692978588358774,9,2,5,8.642211989924889e-05,6.427167962509319,3.783414720160392,4.106281510088056,8,2,5,0.00014912170047420018
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,6.617906189705388,3.288726399513328,4.511455482548247,8,2,5,6.993358305082563e-05,6.768603402663332,3.9473035749880934,4.434081809725219,8,3,2,7.595136080144606e-05,6.346728799453691,3.5100795150022073,4.6255938605949884,8,2,5,7.784147214990564e-05
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,6.519278027070544,3.007304590373613,4.3585753449051845,8,2,5,6.337480796794395e-05,6.740617005991544,3.2873634733678374,4.23743164539189,8,2,5,7.554697776969428e-05,6.571903953600504,3.1256510742877874,4.3767856073224864,8,2,5,5.7873486423587485e-05
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,7.111835397077241,3.2405192713912716,4.0605120087860005,8,2,6,2.0481608017422572e-05,7.189315412308796,3.5599752739745925,4.020103599766808,8,3,2,3.4915019676809295e-05,7.256490014461763,3.140110365419193,4.1633017337630545,8,2,6,2.1312581906244146e-05
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,6.562827118290254,2.628644518020994,3.9968350196320888,9,2,5,3.849155033420346e-05,6.972119105361416,2.585289867378198,3.9402634577269997,9,2,5,2.8178094244320342e-05,6.696319684085138,2.7203071885634014,3.83883707704775,9,3,2,5.455982252445995e-05
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,6.734051491324663,3.422220820120121,3.337012365440911,8,3,2,5.45622625168939e-05,6.946475898646286,4.480235947806971,3.132803549303399,8,3,2,3.145772440858042e-05,6.91515440815504,3.5703880184780896,3.2547827012515396,8,2,3,3.767179029173756e-05
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,6.555678395673475,3.215941587857163,4.040284138973407,8,2,5,5.8618619881246966e-05,6.792658985603284,3.6057237492244223,3.748472636163196,8,3,2,7.175307858979963e-05,6.755003943707514,3.308413248856555,3.8823887603657607,8,2,3,5.4800529987271114e-05
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,6.794713773953838,2.998604712513041,4.496062954805447,8,2,3,5.512397841328745e-05,7.282013899980527,3.4569239023909395,4.234283921168737,8,2,3,7.108962106335726e-05,6.6995490167175005,3.214402489943467,4.579947372085497,8,2,3,7.430671355782318e-05
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,6.901263486322882,3.1472133381746366,3.74854585463175,8,2,5,5.533805207065282e-05,6.996276388798609,3.6723715530019128,3.6791948956596,8,3,2,5.803432816854137e-05,6.814031565244568,3.3791228233360044,3.7734282469627454,8,2,5,9.434763026455647e-05
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,6.3905042902252776,3.124740086913546,3.2913584293152356,6,2,3,5.4785316982748424e-05,6.5681680630571355,3.498368221366773,3.1640326084365604,6,3,2,6.871992396104776e-05,6.510911962800062,3.316846408606756,3.380678128595654,8,2,3,0.00010442378947044246
