stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,4.8849115605454525,5.504146000109699,5,5,"{

""valence"": 5,

""arousal"": 5

}",0.02954179497628917,4.244253323097709,5.212512923013243,5.188539000628204,5,5,"{
  ""valence"": 5,
  ""arousal"": 5
}",0.03599803214128706,4.237220059178542
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,3.9256215693451466,4.816283417017381,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.0431842771101048,3.941068149899643,4.441092670741588,5.126050393835699,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.0428923551280038,4.08975301788511
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,4.057480374140333,5.117154742579043,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.02559667342694367,4.155451446064454,4.276805243074674,4.862701378676168,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.028531158542456084,4.195126048231669
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,4.815606173685351,4.818033423395169,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.049269193710147784,4.1350873124960055,5.065789729820327,4.921667780887434,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.05252395070152577,4.129549760291667
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,4.456625458182484,5.494692312131218,3,5,"{

""valence"": 3,

""arousal"": 5

}",0.0275004912379534,4.174217751988802,4.814900818662663,5.316837922841821,5,7,"{

""valence"": 5,

""arousal"": 7

}",0.03378750986276978,4.183872930777216
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,4.4111217267506415,5.261014230752888,1,1,"```
{
  ""valence"": 1,
  ""arousal"": 1
}",0.02943052120017406,4.204081924128152,4.685708240853335,4.870223212584254,1,1,"```
{
  ""valence"": 1,
  ""arousal"": 1
}",0.033245643195531284,4.236862964401978
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,4.5917731410401394,4.7526689786749206,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.04064019310686692,4.212041276714696,4.752059024298461,4.840566767304456,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.04427021740325182,4.210472487941325
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,4.3169491155602095,4.718111455787357,3,4,"```
{
  ""valence"": 3,
  ""arousal"": 4
}",0.03852296207544834,4.106904321649942,4.409819980352667,4.71548383698879,3,4,"```
{
  ""valence"": 3,
  ""arousal"": 4
}",0.044026757576311325,4.1331603140002935
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,4.136384078443982,5.899855812062615,1,9,"```
{
  ""valence"": 1,
  ""arousal"": 9
}",0.022976801194298867,4.13011699072926,4.478246463371951,5.387288160887718,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.02646584079992817,4.235402850544626
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,4.564087808985096,4.772166293801006,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.04533941419425497,4.156003852127249,4.709394872171195,4.843904979599205,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.042107498155606625,4.190657926559649
