id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,5.687392289185726,4.0507346258598425,4.329262081380852,5,3,2,8.075766525127415e-05,5.682726474209028,3.795108645648554,4.027730447003166,5,2,3,5.1829566669296395e-05,5.346848214787183,4.216271353174138,4.309508878047689,5,3,2,0.00028696898383565066
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,6.810202106983358,4.811143297234191,6.249114900968718,9,1,8,7.946605772959612e-05,6.617244612313665,4.30286610920398,6.030375857356995,9,1,8,6.650158156526486e-05,6.279800805170662,4.844316296842042,6.563481232124529,9,1,8,0.00010230328211585296
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,6.081435621740444,4.934118872419493,5.558067361709332,8,2,6,8.019948783604361e-05,6.205269827672474,4.780145030033534,5.202387027411774,8,2,6,5.694575419335885e-05,5.844687359978611,5.128201337653942,5.745251513268851,5,2,8,9.39978100915339e-05
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,6.541725260855394,3.6923042107191084,4.86937100183491,9,3,2,0.00016212431416429883,6.416601187497294,3.190001003909606,5.102608800205211,9,3,2,6.232696869031995e-05,5.95751202871281,3.8439073170946636,5.3610855543376355,5,2,8,0.0004274356577076439
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,6.456989351292078,3.9330670370524987,4.858254888061688,9,2,1,0.00014471378587070676,6.104971704724493,4.0377561840662395,4.392605438806509,9,2,1,9.619005654842818e-05,5.3058494070157565,4.583926724886281,4.972830587318155,5,2,8,0.00027272771922139886
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,6.789211963231704,3.3951287665222525,5.840636046094778,9,1,8,8.2658914045487e-05,6.887321939984881,3.092281213146934,5.920148384547965,9,2,8,4.031701323076957e-05,6.082555874328577,3.835578615928684,6.15279764971166,5,2,8,0.0001969308841607586
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,6.87555032012008,3.2245512840324944,4.506332089110596,9,3,2,7.585126106156168e-05,6.784762327437656,3.0204729837505533,4.4866782413336646,9,3,2,2.7323103087931423e-05,6.391590405607499,3.150599151876436,4.828107867639275,5,2,3,0.0001964726399632334
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,6.828563214643581,3.590623904876769,4.516096059691345,9,2,1,0.00011300465057053298,6.374617656816023,3.4624105290430314,4.079610812503432,9,2,1,8.35368576688812e-05,6.260940619405005,3.996691671999777,4.722727328599969,9,2,1,0.00031555281337557076
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,6.400458329726715,4.625042433237928,5.818980631053917,9,1,8,0.00015965562302312452,6.514110797896237,4.277186911423915,5.61637254535942,9,2,6,0.00014216804742770494,5.908087628391607,4.9116946170574,6.569120022537961,9,1,8,0.00019284409491278283
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,6.50893957411792,3.2793259510584987,6.179109754572162,9,1,8,6.0483571626069236e-05,6.426402114458668,3.1444866250718158,6.210803092115569,6,2,8,5.926625126010103e-05,6.078928564170501,3.665249396008056,6.349000436766628,9,1,8,0.0001196474376854877
