stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,5.102646555904576,4.847329194894218,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}

The text is a news article",0.02403268538524876,4.193764566637683,5.3150299725969035,5.199326176764051,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}

Affective state is a measure",0.02278702918498731,4.219282814528555
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,5.009489441636602,4.812027006480502,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}

Read the following text and estimate",0.01961318781667994,4.217134944310439,4.934879947283858,4.9446488587197335,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}",0.021152415340613746,4.271892852476762
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,4.894989402458045,4.726323349910807,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.023518500333409152,4.2366907750965845,5.153513150528329,5.014039165974728,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.020120639809692985,4.271788296225216
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,4.949005670916987,4.8615877984797695,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.02417347490614844,4.182039640330172,5.078979965869267,5.127443748967841,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.02084731940202899,4.21035038026001
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,5.254246677684466,4.893333950000548,5,5,"{
  valence: 7,
  arousal: 6
}
""

A. 7
B. 8",0.021312837342252526,4.210730098351513,5.310089393521116,5.053001539978939,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}
""valence"": 7",0.020940839267830785,4.244523038735714
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,5.120921084794125,4.899955685287665,5,5,"{
  valence: 7,
  arousal: 6
}",0.018375989128230904,4.230951114545254,5.1391870262228325,5.0622140157748,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01617826119189943,4.253980427107116
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,4.808087386858179,4.517457806174785,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.023228626519265046,4.215102478097895,4.617918146015257,4.6616219330313236,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.0229426670242867,4.184471126618853
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,5.006279241343297,4.725956731991709,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01783087440128008,4.252311166701941,5.1654401347178265,5.061013612010086,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014978195421984555,4.28204792296448
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,5.117865389482779,4.743513525757435,5,5,"{
  valence: 7,
  arousal: 6
}",0.019442652028897226,4.22392040985698,5.237661472167685,5.113578963572671,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.015946062668724215,4.26051714323715
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,4.829370228792969,4.589655345085762,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}

The thing frowned.

The thing",0.017430513061547134,4.235649154374689,4.906530765203598,4.80154209862538,5,3,"{
  ""valence"": 5,
  ""arousal"": 3
}",0.017714387486673457,4.269534666080528
emobank_NYTnewswire9_10538_10589,"And then the casualties were going to be terrible.""",2.33,3.0,-0.3349999999999999,0.0,4.953263278060937,4.9629916906393365,5,5,"{
  valence: 7,
  arousal: 6
}",0.020843149738285372,4.254034041318415,5.148696461353553,5.311440410822001,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.02051186424717662,4.259315997426558
emobank_SemEval_742,Floods force Malaysia evacuations,2.22,3.56,-0.3899999999999999,0.28,5.094396005580153,4.922996002909685,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}

The text is likely to evoke",0.0226107766806666,4.197126970911583,5.352186705281062,5.460292438686911,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}

Affective state is a measure",0.019301622437732962,4.2049799526362355
emobank_Ohio_Steel_12452_12560,"The people of Youngstown, being now unemployed had very little money to spend on anything but staying alive.",2.22,3.0,-0.3899999999999999,0.0,4.777193695551835,4.618131325585176,5,5,"{
  valence: 7,
  arousal: 6
}",0.02245537020370323,4.196001733821778,4.938876218563588,4.988357839062103,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01845343438143072,4.250871409386015
emobank_SemEval_690,Now it's official: Iraq's a mess,2.18,3.46,-0.4099999999999999,0.2299999999999999,5.038885363953966,4.90196615669489,5,5,"{
  valence: 7,
  arousal: 6
}

The text is likely to evoke a neutral affective",0.02004200512537031,4.234560981225163,5.30292035054586,5.276497685354585,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}

Affect your state of mind",0.018777579696968263,4.2460468106611
emobank_Uprooted_Farming-on-Sand_1711_1753,Last year's rich loam is now useless sand.,2.3,3.0,-0.3500000000000001,0.0,5.171242912911743,4.841743940038985,5,5,"{
  valence: 7,
  arousal: 8
}",0.01786925130572708,4.249447475030335,5.392201468590493,5.258070742448298,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.016402326580445,4.255251548858013
emobank_SemEval_882,"Attack video saddens ""friendly fire"" widow",1.88,3.37,-0.56,0.185,4.93778401069912,4.708051219846381,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}

The text is likely to evoke",0.020673491968265203,4.250132621608131,5.267233827226953,5.051748627639736,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}

Affective state is a measure",0.018676019968557656,4.282289081013932
emobank_wsj_2465_1041_1137,"An hour later, the paper's circulation manager, Miguel Soler, was shot and killed near his home.",2.0,3.18,-0.5,0.09,4.953489487813108,4.742811795773941,5,5,"{
  valence: 7,
  arousal: 8
}",0.020386743048632004,4.237460697184083,5.13383527955746,4.981793029532726,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.017648545264958376,4.262746513864659
emobank_Nathans_Bylichka_38054_38115,Get out of my sight now – unless you know how to put it back?,2.12,3.63,-0.4399999999999999,0.3149999999999999,5.264542243946725,5.065273203394069,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.017286846923767082,4.232037595499451,5.378842088253023,5.275445294405777,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.020725366471590415,4.234931335181407
emobank_SemEval_920,Dozens killed in Baghdad bombing,2.0,3.62,-0.5,0.31,5.103820644894833,4.91988846029388,5,5,"{
  valence: 7,
  arousal: 6
}

The text is likely to evoke a neutral affective",0.022189775088906644,4.222003770602158,5.311682912679625,5.270726961438014,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.018706182349967012,4.244797078636848
emobank_hotel-california_30137_30157,"“No,” said Adrienne.",2.25,3.5,-0.375,0.25,4.896708228322183,4.6582443917550505,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}

The text is likely to evoke",0.02369823746170521,4.223520821834701,4.81002935339928,4.840554466017183,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.025017480271753906,4.239654985253658
emobank_NYTnewswire9_9777_9839,"Three days later, another B-29 from the 509th bombed Nagasaki.",2.33,3.0,-0.3349999999999999,0.0,5.23401515317753,4.856570536007037,5,5,"{
  valence: 7,
  arousal: 6
}",0.017923768551251516,4.226014718906686,5.401633844665913,5.246142103208906,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014838299491566915,4.252710388862717
emobank_110CYL071_246_283,Michael was born with cerebral palsy.,2.14,3.14,-0.4299999999999999,0.07,5.025502965095611,5.000005102492475,5,5,"{
  valence: 7,
  arousal: 6
}

Arousal is a measure of the intensity of",0.023140414855452457,4.2157113547818765,5.225983470037151,5.358805122904929,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.020421761706606114,4.231663840065031
emobank_SemEval_679,Gunmen abduct Filipino woman in Nigeria,2.22,3.22,-0.3899999999999999,0.1100000000000001,4.893564475915539,4.8315808296777805,5,5,"{
  valence: 5,
  arousal: 3
}

The text is likely to evoke a neutral affective",0.024566825569895503,4.207061242944121,5.190464474879527,5.3121096121367435,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.021366512804139932,4.217992049194398
emobank_112C-L015_859_939,Many of the children have no homes; no memories of joy from past holidays.,2.12,3.25,-0.4399999999999999,0.125,5.197888835314591,4.8104895024192516,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}",0.020196352827516036,4.217326501961924,5.286569207810184,5.090937938798012,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.0205530128111549,4.2570962553457665
emobank_captured_moments_9076_9083,Enough.,2.3,3.4,-0.3500000000000001,0.1999999999999999,5.11178358940466,4.8012158962106195,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}

The text is a simple statement",0.024566292963962347,4.218021700372127,5.340044729268544,5.046200066040968,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}

Affective state is a measure",0.02661857278150346,4.2335474866902265
emobank_A_defense_of_Michael_Moore_19756_19840,"The kid was a little bastard, and the parents were involved in drugs -- case closed.",2.3,3.3,-0.3500000000000001,0.1499999999999999,4.855937407021141,4.746356581441086,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.02030234027702768,4.249121428216885,5.0131257417564346,5.008184632320207,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.0194556441097006,4.268079075469311
emobank_hotel-california_30791_30976,"“You could force the captain to set down somewhere. Let us off the ship. If he refuses, threaten him. If he still refuses, well, of all of us, isn't there someone who can drive a ship?”",2.3,3.6,-0.3500000000000001,0.3,5.053288538030187,4.905798030245177,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01669385300444097,4.250286342111216,5.246218589440114,5.23085385550521,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.015323417335215755,4.269381332577076
emobank_IFAW1_1303_1324,"“stupid, non-feeling”",2.0,3.0,-0.5,0.0,4.572900903576134,4.415106159025903,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}

Note: The valence and",0.024163149581199278,4.202219759383391,4.404691116028602,4.561134688960066,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.024188444858398033,4.217797009142571
emobank_Nathans_Bylichka_37381_37477,“and you’d better pray to whatever god you think will listen that he won’t care we woke her up.”,2.3,3.4,-0.3500000000000001,0.1999999999999999,4.955987150582808,4.822608801562482,5,5,"{
  valence: 1,
  arousal: 1
}",0.020846862964317037,4.266598687487972,5.076298357192443,5.119259200025674,1,1,"{
  ""valence"": 1,
  ""arousal"": 1
}",0.019371307449210465,4.2810879564159094
emobank_Ohio_Steel_10791_10967,"However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience they could not afford.",2.3,3.1,-0.3500000000000001,0.05,4.836687515413585,4.788422084952719,5,5,"{
  valence: 7,
  arousal: 8
}",0.017417473428827164,4.227426051209886,5.126310072687699,5.295409309630145,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.014649840818866522,4.241726510370113
emobank_marine1_490_675,"Even today, after years of public outrage, dolphins continue to die in tuna fisheries of other countries and are still being cruelly and often illegally killed by gillnets and harpoons.",2.0,3.2,-0.5,0.1,5.201923188253491,4.776993053638129,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01475334921386713,4.2385243171236215,5.421267136827562,5.151236757621274,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.01228312599305389,4.244887093483872
emobank_sucker_1488_1738,"“a black-themed book will come up for consideration, and there won’t be anyone of color to put in an opinion, or there’ll be one, who shouldn’t bear the burden alone. So we all pretend we’re experts. Maybe I’m the only one who’s embarrassed by that.”",2.33,3.33,-0.3349999999999999,0.165,5.01201316752458,4.809208859494336,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.019947947791879757,4.236211712207529,5.080481092938313,4.957680476714327,7,8,"{
  ""valence"": 7,
  ""arousal"": 8
}",0.019572818790459388,4.24778893137818
