id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,condition,pair_id,V_H,A_H,pair_key,split
B-admiration-d1-v2,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c2,124,"The interpreter was working between two languages and a courtroom full of people who didn't know what they were witnessing. The defendant spoke in long, unpunctuated sentences — clauses folding into each other, tense shifting mid-thought, idioms from a regional dialect that had no direct equivalent. The interpreter rendered each sentence into English without pause, without simplification, and without losing the structure that made the defendant's meaning his own and not someone else's. The judge did not notice. The attorneys did not notice. The defendant noticed. When the interpreter finished a passage that contained a proverb his grandmother had used, the defendant looked at her for the first time, and what passed between them was the recognition that his words had survived the crossing.",affective,N-admiration-d1-c2,,,N-admiration-d1-c2,train
N-admiration-d1-c2,neutral,neutral,1,Competence-Matched (Professional/Craft Settings),B-admiration-d1-v2,109,"The interpreter was working between two languages in the standard courtroom configuration. The defendant spoke in measured sentences, following the pattern the attorney had prepared. The interpreter rendered each sentence into English using the standard legal terminology, pausing at the natural breaks for the court reporter. The judge followed the transcript on the monitor. The attorneys referred to their notes during the testimony. The session proceeded at the expected pace for a case of this type. The interpreter had been certified for courtroom work for twelve years and had handled similar proceedings in this district before. The session concluded on schedule, and the transcript was filed with the clerk.",neutral,N-admiration-d1-c2,,,N-admiration-d1-c2,train
B-admiration-d1-v4,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c4,119,"The surgeon's hands were the thing people talked about. Not his results — his results were in the database, comparable to others at his level. His hands. The residents watched them during procedures. The motions were small and they were certain and they did not contain anything extra. A resident once said that watching him operate was like watching someone write in a language that had no unnecessary letters. He operated on structures that were millimeters apart, and his instruments moved between them the way a sentence moves between words — without confusion about where one ended and the next began. He had been doing this for twenty-six years. His hands had not changed speed. They had changed precision.",affective,N-admiration-d1-c4,,,N-admiration-d1-c4,train
N-admiration-d1-c4,neutral,neutral,1,Competence-Matched (Professional/Craft Settings),B-admiration-d1-v4,114,"The surgeon had been on staff for twenty-six years. His case outcomes were tracked in the department's database, consistent with the benchmarks for his specialty and experience level. The residents rotated through his operating room as part of the standard training schedule. His technique followed the established protocols, with the standard instrument set and the positioning guidelines documented in the department manual. He operated on the scheduled caseload, averaging three procedures per week during the regular season. The department had reviewed his performance at the annual credentialing meeting, and his privileges had been renewed on the standard cycle. His most recent case was logged and closed without variance from the expected recovery timeline.

---",neutral,N-admiration-d1-c4,,,N-admiration-d1-c4,train
B-admiration-d2-v4,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c4,140,"The doctor had been offered the position three times. Chief of the department. More money. An office with his name on the door. A title that would follow his name in print. Each time, he declined. Each time, the reason was the same: the position required administrative days, and administrative days were days he would not be in the clinic. The clinic was in a part of the city where the next nearest doctor who spoke the patients' language was forty minutes away by bus. He had been there for nineteen years. Some of the patients he saw now were the children of patients he had seen when he first arrived. He chose the clinic over the title three times, and the third time, the hospital stopped asking, and the patients did not know there had ever been a question.",affective,N-admiration-d2-c4,,,N-admiration-d2-c4,train
N-admiration-d2-c4,neutral,neutral,2,Moral-Character-Matched (Professional/Institutional Settings),B-admiration-d2-v4,119,"The doctor had been at the clinic for nineteen years. He worked the standard schedule — four clinical days, one administrative day — and followed the staffing plan set by the department. The clinic was located in the hospital's community outreach wing, serving the surrounding neighborhoods. He saw patients on a rotating basis with the other physicians in the group. The department had offered him a seat on the scheduling committee, which he accepted. His patient load was within the standard range for his specialty. Some of the patients had been with the clinic since it opened. He attended the department meeting each month and filed his patient notes through the electronic records system on the standard timeline.

---",neutral,N-admiration-d2-c4,,,N-admiration-d2-c4,train
B-admiration-d3-v1,admiration,peak,3,Resilience (endurance against odds),N-admiration-d3-c1,144,"The woman had rebuilt the house herself. Not with a crew. By herself. The flood had taken everything below the waterline, which was everything — the floors, the walls to four feet, the wiring, the plumbing. Insurance had covered a fraction. She was sixty-seven years old. She watched videos on the internet and she went to the hardware store and she asked questions until she understood the answers, and then she did the work. It took her fourteen months. The building inspector who signed off on the final permit said the wiring was better than what had been there before the flood. She had learned how to do it correctly by doing it for the first time. Her neighbors had offered to help. She had thanked them and done it herself, not out of stubbornness, but because she wanted to know that she could.",affective,N-admiration-d3-c1,,,N-admiration-d3-c1,train
Bm-admiration-d3-v1,admiration,moderate,3,Resilience (endurance against odds),,107,"The woman at the evening language class was older than the other students by at least thirty years. She sat in the front row with a notebook and a dictionary that she had tabbed with colored markers. She was slower than the others. The pronunciation exercises took her more repetitions. The grammar worksheets came back with more corrections. But she was in the front row every Tuesday and Thursday, and her notebook was more detailed than anyone else's — not just the exercises but her own annotations, questions she had looked up between sessions, words she had encountered during the week and brought back to the classroom.",affective,N-admiration-d3-c1,8.245616069711971,6.585358732238903,N-admiration-d3-c1,train
N-admiration-d3-c1,neutral,neutral,3,Resilience-Matched (Recovery/Personal Settings),B-admiration-d3-v1,109,"The woman had hired a contractor to repair the house after the flood. The water damage had affected the lower sections — flooring, lower walls, wiring, and plumbing. Insurance covered the standard remediation costs. The contractor was a licensed firm recommended by the insurance adjuster. The work followed the building code requirements for flood-damaged structures. It took approximately four months, which was within the typical timeline for this scope. The building inspector signed off on the final permit, and the wiring and plumbing met the current code specifications. Her neighbors had checked in during the construction period. She thanked them and said the contractor was handling everything on schedule.",neutral,N-admiration-d3-c1,,,N-admiration-d3-c1,train
B-admiration-d4-v2,admiration,peak,4,Caregiving responsibility (dependent in your charge),N-admiration-d4-c2,120,"His sister had taken their mother in when no one else could. She had
a two-bedroom apartment and two children of her own. She gave up the
bedroom. She slept on the couch for four years. He visited on a
Saturday and noticed the couch cushions were worn into a shape — her
shape, pressed into the foam from fifteen hundred nights. The
apartment was organized around his mother's needs: the grab bars she
had installed herself, the labels on the cabinets in large print, the
path from the bedroom to the bathroom cleared of every object. His
sister was forty-one. She had not taken a vacation in four years. Her
children set the table for five without being asked.",affective,N-admiration-d4-c2,,,N-admiration-d4-c2,train
