id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,4.77900289824357,3.9745392067717313,4.313133258743495,1,1,1,0.01064906101425402,4.800376928017446,3.9819351203318925,4.0750489900172155,1,1,1,0.009650873483029641,5.111003350626763,4.242996222297653,4.0406988078565265,1,1,1,0.015094832148165798
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,6.457256973282812,4.943458453053616,5.303664326419221,8,6,7,0.009249245878685404,6.5210168505904145,4.850551255205952,5.18173222274174,8,6,7,0.009096322831881545,6.268389690132974,4.588871034455256,5.228538563971447,5,5,5,0.012374476886507633
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,5.2736780171757225,4.937317228231736,5.067553447507191,5,5,5,0.016969505167061822,5.396732324758366,5.370384758624331,5.037657892193337,5,5,5,0.015705535500189854,5.562395627411901,5.265475632946716,4.800081999236745,5,5,5,0.025275906902274412
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,5.686784465604252,4.019227379307459,4.4191212703643,6,3,4,0.009195505530842248,5.725534145411584,3.78907711916822,4.161706235159302,6,3,4,0.0064202013637179,5.4126737112145165,3.8720826105134956,4.208429373655801,5,3,2,0.01234532441767556
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,5.819403749011974,4.280262971494271,4.605638243220177,1,1,1,0.011332202367572557,5.836405587019005,4.149260691201433,4.435929099384571,1,1,1,0.010544010173047165,5.720909779871035,4.550653743371374,4.582394182478851,5,5,5,0.01903958299908633
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,5.924603217565451,3.7411364535188234,4.526979594304966,6,3,4,0.006454805007075873,5.918786381938307,3.5857433473562326,4.081414655097655,6,3,3,0.004122950392133054,5.869156731160476,3.852958493692242,4.148415831254461,5,3,2,0.010123839967003993
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,5.5069615522854,4.071924253250915,4.550752688637987,5,3,4,0.010600504371985196,5.593277291629769,3.697694341137959,4.24292948012842,5,3,2,0.007157160167651556,5.373736825402737,3.8201654555459177,4.429232097301509,5,3,2,0.012039166482993401
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,5.10427654183149,4.277997136581401,4.6590397305296625,1,1,1,0.017990890557066597,5.277261328792973,4.324285526796338,4.552483723593192,1,1,1,0.015078895765653084,5.300157226874116,4.304189820661366,4.366737633267343,5,5,5,0.025705761974876246
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,6.03612674980197,3.889955131193954,4.581181653257522,5,3,4,0.009948497122082777,6.069119310681037,3.808049979106616,4.2960453898529165,5,3,2,0.007363012426898292,5.736943758856909,3.732942064646841,4.352159230040783,5,3,2,0.015501934352610085
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,5.3190158953734255,3.8881196323298517,4.816728004813802,1,1,1,0.005990939969538785,5.631482993964291,3.8009391392594907,4.547513772079451,1,1,1,0.0041016899807191295,5.263373370070485,3.6307016509372936,4.517671724689839,1,1,1,0.007976096788022956
