id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",1.1184769426420103,7.914302512559285,1,8,"{
""valence"": 1,
""arousal"": 8
}",1.433538606987439e-14,1.036240343392733,1.056762066055731,8.346981860072228,1,9,"{
""valence"": 1,
""arousal"": 9
}",8.676565971906097e-15,0.8831575138736854
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",2.9055406259666716,7.002051590435655,3,7,"{
""valence"": 3,
""arousal"": 7
}

The text describes a",2.2776236484352638e-11,0.6340426981963373,2.385500991635637,6.876630266438237,2,7,"{
""valence"": 2,
""arousal"": 7
}",1.3870903584022828e-11,1.3320202892928588
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",4.933332261799772,3.226479295283389,5,3,"{
""valence"": 5,
""arousal"": 3
}

The text describes a",0.0011165904414519648,0.5729138230229609,4.987021330568154,3.003099738239471,5,3,"{
""valence"": 5,
""arousal"": 3
}",6.0794863519966445e-06,0.2448058797444045
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,1.0486220913666429,7.338505383566289,1,8,"{
""valence"": 1,
""arousal"": 8
}",3.0257383015237997e-14,0.9315926063438674,1.009810011871971,8.382061729833849,1,8,"{
""valence"": 1,
""arousal"": 8
}",1.1333092648968767e-14,0.8535016301804846
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",4.664040270210921,2.9855657899093897,5,3,"{
""valence"": 5,
""arousal"": 3
}

This text is likely",9.380958810958031e-07,0.8613420518236171,4.817627305981215,2.9600126577343224,5,3,"{
""valence"": 5,
""arousal"": 3
}",9.351787753199473e-07,0.690090325185528
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",3.1408249208201258,6.83275879560106,3,7,"{
""valence"": 3,
""arousal"": 7
}

The text describes a",1.5981671905488455e-09,1.2103869452683842,2.8262507577698557,6.86974429422296,3,7,"{
""valence"": 3,
""arousal"": 7
}",7.10216524234571e-11,1.0473448787048243
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,3.4526920625470896,7.002884057023857,3,7,"{
""valence"": 3,
""arousal"": 7
}

The text describes a",1.5015008624018474e-10,1.1340285454917385,2.664116212828041,7.055452123209271,2,7,"{
""valence"": 2,
""arousal"": 7
}",1.3882321511206836e-11,1.514532775143243
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",3.19725652721787,7.00912632352544,3,7,"{
""valence"": 3,
""arousal"": 7
}

The text evokes",7.940045200246808e-11,0.7619072945003623,2.906770124623265,6.956964770537045,3,7,"{
""valence"": 3,
""arousal"": 7
}",1.408559690991098e-11,0.6691302637020732
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",4.348040790966837,7.507555869157322,3,8,"{
""valence"": 3,
""arousal"": 8
}",4.399489292813794e-09,1.5759078441415295,2.9988255743638903,7.417092823642682,3,8,"{
""valence"": 3,
""arousal"": 8
}",1.0720642851212914e-11,0.7690333189028979
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",2.747534368260496,7.027357919313308,3,7,"{
""valence"": 3,
""arousal"": 7
}

The text describes a",4.917209880190331e-11,0.7443637598031193,3.154423380444575,7.0641112914121065,3,7,"{
""valence"": 3,
""arousal"": 7
}",5.197721169961995e-10,0.5820078020166279
B-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,peak,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",8.00812129823958,5.781765134186459,9,7,"{
""valence"": 9,
""arousal"": 7
}",3.374532791924094e-09,0.8760849880361502,8.814317141261402,6.445036306537573,9,7,"{
""valence"": 9,
""arousal"": 7
}",1.1744193876083334e-10,1.1422379721559652
B-ecstasy-d3-v1,N-ecstasy-d3-c1,affective,peak,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",6.732036755124292,5.988745141164745,7,6,"{
  ""valence"": 7,
  ""arousal"": 6
}

This text",1.4531500390586318e-07,1.0344471235007342,6.949451007346153,5.346553003170485,7,5,"{
""valence"": 7,
""arousal"": 5
}",1.285490916559176e-07,0.8542396740343965
B-ecstasy-d3-v2,N-ecstasy-d3-c2,affective,peak,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",7.542639948210047,6.539848066458104,7,6,"{
""valence"": 7,
""arousal"": 6
}

This text is likely",1.4181723400749495e-09,1.563488672287684,7.9972711517970145,7.815123795637574,8,7,"{
""valence"": 8,
""arousal"": 7
}",4.8853169927966055e-11,1.0873338728060435
B-loathing-d1-v1,N-loathing-d1-c1,affective,peak,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",1.3157515307390117,8.551465753680233,1,9,"{
""valence"": 1,
""arousal"": 9
}",6.464683644785061e-14,1.066590668528484,1.062002869104588,8.93275004358863,1,9,"{
""valence"": 1,
""arousal"": 9
}",2.3605250780666846e-14,0.269578397216823
B-loathing-d1-v2,N-loathing-d1-c2,affective,peak,"The factory had passed inspection every year for a decade. The inspector's brother-in-law managed the plant. This was in the public record, in a filing that no one had cross-referenced until a reporter did. The workers' medical claims were also in the public record. Respiratory conditions at four times the regional average. The factory's ventilation system had been listed as ""upgraded"" in each annual report. A photograph of the ventilation system, taken the week before the most recent inspection, showed the same unit installed in 2014, with the same serial number, with the manufacturer's original warranty sticker still attached.",2.736607994927301,6.914005159916328,2,7,"{
""valence"": 2,
""arousal"": 7
}

The text's",2.3024878694139494e-11,1.4140528784710797,2.252964125306955,6.7925904666595365,2,7,"{
""valence"": 2,
""arousal"": 7
}",8.027403889267128e-11,1.382518834168388
B-loathing-d2-v1,N-loathing-d2-c1,affective,peak,The apartment had been vacant for six months before the new tenant opened the door. The previous occupant had not taken anything and had not cleaned anything. The kitchen counter had dishes with food that had changed color and shape and was no longer identifiable as what it had once been. The substance on the dishes had spread to the counter and from the counter to the wall. The refrigerator door was slightly open. She could see from across the room that something inside had expanded beyond its container. The air in the apartment had a weight to it. She turned around in the doorway without stepping onto the floor.,1.8794654871624976,7.1358605059071225,2,7,"{
  ""valence"": 2,
  ""arousal"": 7
}",8.7695606722314e-15,1.160501111028789,1.3335554335123987,7.131583147059195,1,7,"{
""valence"": 1,
""arousal"": 7
}",4.126520012169527e-15,1.5575012870119442
B-loathing-d2-v2,N-loathing-d2-c2,affective,peak,"The restaurant kitchen was visible through a door that should have been closed. He saw it because he had gone looking for the restroom and turned the wrong way. The cutting board had residue from multiple uses without washing — layers of color, each one a different meal from a different hour. The floor near the sink had a film that reflected the overhead light. A container of something that was being used as an ingredient was open on the counter, and the surface of the contents had a texture that did not match what the label described. He walked back to the table. His plate was still there. The food on it was the same food prepared in the room he had just seen. He put his napkin over the plate.",3.244516073937185,5.215991256733043,3,5,"{
""valence"": 3,
""arousal"": 5
}

The text describes a",3.2553032926900698e-06,1.260111702790753,2.8469668878128864,5.14670422306431,3,5,"{
""valence"": 3,
""arousal"": 5
}",7.334416752066736e-07,1.3116214373297754
B-loathing-d3-v2,N-loathing-d3-c2,affective,peak,"The politician had campaigned on clean water. Three terms, twelve years, clean water in every speech. Her voting record was public. She had voted against the water treatment funding bill four times. Each time, the bill had failed by one vote. Her financial disclosures were also public, though they required cross-referencing with corporate filings to understand. The company that supplied the untreated alternative — the cheaper process, the one the bill would have replaced — had paid her consulting firm a retainer for eleven of the twelve years. The consulting firm was registered to her home address.",2.4647473856691233,7.0145669795498975,2,7,"{
""valence"": 2,
""arousal"": 7
}",1.406063458094656e-11,1.1285359111575348,2.0484102542042355,7.1890635890629975,2,8,"{
""valence"": 2,
""arousal"": 8
}",1.5899050675530853e-11,1.4037527202958056
B-amazement-d1-v1,N-amazement-d1-c1,affective,peak,"She had pulled over because the road was too dark to drive safely. When she got out of the car to check the tires, she looked up. The sky was moving. Green light was crossing the entire visible horizon, folding over itself in shapes that changed faster than she could track. She had read about this. Reading about it and seeing it were not the same category of experience. The light had structure — curtains, columns, ripples that moved like fabric in wind, except there was no fabric and the scale was the size of the sky. She stood in the road. A car passed and honked. She did not move.",6.86169792493752,7.950833079641203,7,8,"{
""valence"": 7,
""arousal"": 8
}

This text is likely",1.5955728285235952e-09,0.43156616132608916,6.778457505464435,8.150892821703287,7,9,"{
""valence"": 7,
""arousal"": 9
}",2.0635483190314157e-09,1.0301880896173143
B-amazement-d2-v1,N-amazement-d2-c1,affective,peak,"The building was on fire from the fourth floor up. The crowd was behind the barrier. A woman on the fifth floor was holding a child out the window because the room behind her was no longer a room. A man from the crowd went under the barrier. He went into the building through the front entrance. The crowd watched the entrance. Forty seconds later, the man appeared at the fifth-floor window. He took the child. The woman climbed out onto the ledge. The three of them came down the fire escape on the side of the building that was not yet burning. The man set the child on the sidewalk and sat down next to it. He was wearing office clothes and carrying a paper coffee cup. He still had the coffee cup.",3.3513878049094092,7.237494831886501,3,8,"{
""valence"": 3,
""arousal"": 8
}

The text describes a",7.251849777842559e-09,1.7291261088085386,1.7984668630771052,7.062440580882545,1,7,"{
""valence"": 1,
""arousal"": 7
}",3.881544415793116e-09,1.5931513404958895
