stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,4.5430458656875645,4.22249864151018,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.008345957556349388,5.663249894546126,4.903100209756665,7,5,"{
  ""valence"": 7,
  ""arousal"": 5
}",0.011613590048729373
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,2.5190058727001547,3.9266077715488445,3,5,"{
  ""valence"": 3,
  ""arousal"": 5
}",0.003259114753090717,2.3568812906658634,5.202631617583803,2,7,"{
  ""valence"": 2,
  ""arousal"": 7
}",0.0017004717779617222
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,2.354345529141596,3.040238084970181,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.0017985171322688217,2.3825658631118163,3.24662492267665,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.0020353942755312222
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,3.1565041701852383,3.0545364850110714,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.004521672385346571,3.707763861182497,3.5370924002918183,5,5,"```json
{
  ""valence"": 3,
  ""arousal"": 5",0.006511580293437622
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,2.4247612220323553,3.5254175039192215,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.00197068790564638,2.155358758153424,4.471810707218563,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0008458193199047709
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,2.4617862527405525,3.1518042537705595,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.0027446656926937156,2.8022768862946723,3.5667249561097005,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0040820061855986346
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,3.125073301529974,2.8795685136560416,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.003300937683417232,4.024593640889644,3.7736338142467405,5,5,"```json
{
  ""valence"": 3,
  ""arousal"": 2",0.004983643414608449
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,3.8164907916899713,3.8139334280643165,5,5,"```json
{
  ""valence"": 3,
  ""arousal"": 2",0.007627012186031633,3.2945180610416274,3.9351841267859933,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.004471528275191718
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,2.4462069455921296,6.484739619284124,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 8",0.002150656639735689,2.3775209489919975,6.550613427530468,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 8",0.002166582012824334
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,2.8841751939906075,3.1841519960181306,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 3",0.00257878525415087,2.8731422648269986,3.9686289863896986,3,2,"{
  ""valence"": 3,
  ""arousal"": 2
}",0.0031191811932182213
emobank_NYTnewswire9_10538_10589,"And then the casualties were going to be terrible.""",2.33,3.0,-0.3349999999999999,0.0,2.39434666030169,4.810670056722205,5,5,"```json
{
  ""valence"": 2,
  ""arousal"": 7",0.0016422722793536801,2.8096606927761827,4.822846869612195,2,3,"{
  ""valence"": 2,
  ""arousal"": 3
}",0.0028113409836290387
