id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,4.327357301769946,4.489679159202128,4.704502301706658,8,8,8,0.03342847930213948,4.368737689745154,4.55961552257758,4.7365997193603375,8,8,8,0.025859563226362445,3.715695986504623,4.065420089101833,4.343963321705955,1,1,1,0.01956749808518364
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,3.3765294535983803,3.3167622653652735,3.489350100803511,1,1,1,0.021361149997141768,3.3911219839384072,3.442863164969858,3.672054890752004,1,1,1,0.025775345877050694,3.3798338863982864,3.37887138043105,3.5988248251175774,1,1,1,0.019692506645595322
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,2.9816060733295813,3.174842283202425,3.4486138933396693,1,1,1,0.009821046730800644,3.312447593810223,3.276186896672152,3.4956432137561553,1,1,1,0.02388665369639269,3.1554026795306966,3.513539339741626,3.774488730824845,1,1,1,0.01057284105638539
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,2.6526049145591477,2.666245038426361,2.800226791103232,1,1,1,0.023487375789098295,2.807462901018683,2.8454088639745962,2.9699489012499605,1,1,1,0.026080725365232458,2.3154564117602727,2.506237201617157,2.6647943015344895,1,1,1,0.01431085129552919
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,3.1518666360142205,3.0164195046552833,3.0619455777506666,1,1,1,0.03225229130116058,3.098589410131065,2.979129903380206,3.0543592910172896,1,1,1,0.033218066038575744,3.1395798781148376,3.1996954815886856,3.294858145320257,1,1,1,0.03606925314674036
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,2.839319579357278,2.96225175416,3.3177214882094166,1,1,1,0.011596642160798337,2.7084461750158075,2.901025606390692,3.4211198564051433,1,1,1,0.009077439886976575,2.373281904608924,2.7046708557436654,3.114511524616008,1,1,1,0.005732225404467356
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,3.066163363092771,2.794600417580692,3.2220465257683584,1,1,1,0.013095560974956384,2.861074128492629,2.715400546399983,3.101001884559934,1,1,1,0.011140928564298488,2.702508611224368,2.617885344937978,2.9972525371912275,1,1,1,0.010963557197912125
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,3.84718648441487,4.305001082037058,4.683004254165377,1,1,1,0.0211486652810413,3.8114429568732255,4.307135266859257,4.658572922396953,1,1,1,0.03386917350585,3.5929708877066275,4.252557858618566,4.69166210409533,1,1,1,0.013113023373772598
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,2.7243930394133464,2.9863838903978426,3.0639128309430843,1,1,1,0.015492903669937302,2.931371093568559,3.3502961279590493,3.438879320229706,1,1,1,0.0170023305801562,2.5981989894350606,3.094596750441754,3.2142071346313514,1,1,1,0.01528666386451458
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,3.201698898087153,3.6132029343193874,3.6966942353332155,1,1,1,0.01598805131670827,3.1176547454922843,3.6638212771431715,3.8054035707792235,1,1,1,0.014906180580571127,2.7606414928344036,3.3842429901381124,3.5244789442337945,1,1,1,0.01862575974185783
