id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",4.346222473719548,5.2503782056063795,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.03483355927493665,4.141841174332441,4.370666752151817,5.126138504273362,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.03488673898486613,4.165311093436349
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",4.292933495546133,5.290974207754074,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.030719794626805772,4.182083228729445,4.472922031160808,4.947316536473359,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.03011894799242658,4.2272934125268575
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",4.400673796179143,4.5953024659898185,3,4,"```
{
  ""valence"": 3,
  ""arousal"": 4
}",0.03204034535023981,4.14630097279321,4.363547167065475,4.649927846484476,3,4,"```
{
  ""valence"": 3,
  ""arousal"": 4
}",0.03398979327958985,4.138129862289666
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,3.9366489847599486,5.3048722576491665,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.025575251104727494,4.118132123042838,4.063404429810504,4.985107457393586,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.027950552009199037,4.166902424601556
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",4.771420643543073,4.303592935737832,5,3,"```
{
  ""valence"": 5,
  ""arousal"": 3
}",0.039473097659571126,4.114504187273301,4.885771099420464,4.586236568315174,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.04323990916820526,4.126330555382654
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",4.5511508804849905,4.778984579695906,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.0398137180547829,4.1170075739464655,4.752350735818395,4.905382943255361,5,5,"```
{
  ""valence"": 5,
  ""arousal"": 5
}",0.03525715549133435,4.165358812106728
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,4.323999065915978,5.093467643488684,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.029216783170435474,4.177328535017131,4.366071976043776,4.991838397434133,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.03264732511521482,4.1767860158465995
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",4.4344584204600785,5.351197916049415,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.02977206404304175,4.181953969808405,4.349812716551471,4.974308975205245,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.026659003175501808,4.2049891175445
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",6.58635279259384,5.7702209250804914,7,5,"```
{
  ""valence"": 7,
  ""arousal"": 5
}",0.022579839595840617,4.0062583054360035,6.548968973865176,5.825803351221566,7,5,"```
{
  ""valence"": 7,
  ""arousal"": 5
}",0.02137731120717057,4.006764498651444
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",4.781595621808616,5.221432797470289,4,5,"```
{
  ""valence"": 4,
  ""arousal"": 5
}",0.02688751294208455,4.268194512007656,5.017870293496698,5.176268364612611,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.027714707897397706,4.2654467967268825
B-ecstasy-d2-v2,N-ecstasy-d2-c2,affective,peak,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",6.735411054859772,5.756171317815902,8,7,"```
{
  ""valence"": 8,
  ""arousal"": 7
}",0.020353075444614156,3.9509677130981116,6.646919902369269,5.806697354673255,8,7,"```
{
  ""valence"": 8,
  ""arousal"": 7
}",0.022220695948154064,3.9656312437613517
B-ecstasy-d3-v1,N-ecstasy-d3-c1,affective,peak,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",5.711068627955077,5.450051552647149,7,5,"```
{
  ""valence"": 7,
  ""arousal"": 5
}",0.029981746574518863,4.1186159763397185,5.608522708477385,5.410905565499359,5,7,"```
{
  ""valence"": 5,
  ""arousal"": 7
}",0.029157148251866164,4.164095183872185
B-ecstasy-d3-v2,N-ecstasy-d3-c2,affective,peak,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",6.214703402555857,6.0176551293086185,7,6,"```
{
  ""valence"": 7,
  ""arousal"": 6
}",0.026361186502736313,4.029359481920342,6.00999698566351,5.819143682295528,7,5,"```
{
  ""valence"": 7,
  ""arousal"": 5
}",0.02450979675031588,4.100199248213387
B-loathing-d1-v1,N-loathing-d1-c1,affective,peak,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",3.9332431842227433,5.0749709816323705,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.024584814181044502,4.154982633257102,4.006572489790374,4.809646748484277,3,5,"```
{
  ""valence"": 3,
  ""arousal"": 5
}",0.025267284800729456,4.186814255314737
