id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,3.8008144017571235,4.452304467704588,4.094291110391409,1,1,1,0.00838988544703747,3.707880247547312,4.361249812278847,3.995795734675527,1,1,1,0.008086765720795261,3.6489367327372793,4.361657983674963,4.08011872651211,1,1,1,0.007678203991705926
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,3.8838026758526643,4.506962920304631,4.155027832175498,1,1,1,0.008035518506915864,3.7261383899218483,4.35337252856415,3.998065555431315,1,1,1,0.007531103936865829,3.926386232252636,4.500330351197653,4.107864120811147,1,1,1,0.00945931319736612
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,3.9294697011771436,4.448587443796132,4.100714716156194,1,1,1,0.009456574071349812,3.791060987889303,4.268486828902936,3.925160348204961,1,1,1,0.009230746609112144,3.9887708048828174,4.479838378972564,4.104648929318358,1,1,1,0.008679391014418837
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,3.86014617319621,4.570680116443184,4.220285576130086,1,1,1,0.006791819504881348,3.7500788162649923,4.454533667917562,4.059620924084079,1,1,1,0.006640638268156967,3.832097764874217,4.504431503210999,4.224704561835656,1,1,1,0.0068827526931720595
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,4.1085993332407575,4.648211570220111,4.511394993739974,1,1,1,0.01015005775240461,3.8648482752522115,4.491928280797603,4.263590812630303,1,1,1,0.00807709555545585,3.8455391700887502,4.571063308701406,4.427135282809217,1,1,1,0.009226609018063181
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,4.045841716219169,4.658818722832155,4.204143433151606,1,1,1,0.007032337439820692,3.9269841014024385,4.540201071365664,3.9910690471313375,1,1,1,0.007374387106063993,4.114859362784155,4.654669097770001,4.224530978902361,1,1,1,0.008223595161085182
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,3.915861379343546,4.5394009554275465,4.253031416046008,1,1,1,0.0069861850039577775,3.852340109022282,4.4536909730834795,4.06379246389143,1,1,1,0.007004459142512253,3.816319812446462,4.514463415719911,4.194144935284309,1,1,1,0.007135351002552193
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,3.9225109790532278,4.516232173996465,4.277525442064567,1,1,1,0.008196772622789764,3.866800954565281,4.476908433915945,4.202209399531221,1,1,1,0.00812981049883132,3.959833096834297,4.53531963981002,4.282738939796787,1,1,1,0.008082081196746943
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,3.856340757614203,4.520352506799549,3.994809671845111,1,1,1,0.008626578707722064,3.7944855613260575,4.421257126910798,3.883021766385979,1,1,1,0.008100454775763542,3.915746622973116,4.526873140248762,3.955760696936386,1,1,1,0.009437600841997035
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,4.120851711110397,4.574087725780114,4.156058571771749,1,1,1,0.011168906200047448,4.111686756613125,4.538988626351247,4.072548019964436,1,1,1,0.012251758993227037,3.9124532953749545,4.441685656794214,4.092252823864063,1,1,1,0.01071622230489301
