id,pair_id,condition,intensity,text,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen,post_p55,post_entropy
B-rage-d1-v1,N-rage-d1-c1,affective,peak,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",4.198693056371384,5.866149940559214,-5,7,"{
""valence"": -5,
""arousal"": 7
}",0.01739962218527611,3.7917230141155853,4.521625866065616,5.64126210548931,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.01815807848190553,3.845452555365964
B-rage-d1-v2,N-rage-d1-c2,affective,peak,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",4.583159884366874,4.945071102400617,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.020990556151203602,3.8691680150816947,4.626400632544543,5.003164526466693,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.015541556917210847,3.923894311974057
B-rage-d2-v1,N-rage-d2-c1,affective,peak,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",4.574494200944899,2.6570560191087194,5,3,"{
""valence"": 5,
""arousal"": 3
}",0.002043366404931336,3.503502001926963,4.68814323443542,2.773656772574336,5,3,"{
""valence"": 5,
""arousal"": 3
}",0.0019890765021806397,3.551326540187462
B-rage-d2-v2,N-rage-d2-c2,affective,peak,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,3.4569564492297666,6.394273516813407,-8,7,"{
""valence"": -8,
""arousal"": 7
}",0.0055333830768870725,3.717461676205669,3.5541857476159566,6.407907606467287,-5,7,"{
""valence"": -5,
""arousal"": 7
}",0.005746172819901569,3.775054168783914
B-grief-d1-v2,N-grief-d1-c2,affective,peak,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",3.661096194291467,2.353763134304843,-2,1,"{
""valence"": -2,
""arousal"": 1
}",0.0015814109215572377,3.307246960840928,3.723862836610686,2.221290017612704,2,1,"{
""valence"": 2,
""arousal"": 1
}",0.0011244327586912308,3.277897356400305
B-terror-d1-v2,N-terror-d1-c2,affective,peak,"The man in the parking garage was walking at the same speed she was. She turned left. He turned left. She stopped at a car that was not hers and pretended to look for keys. He stopped four cars away and looked at his phone. She walked again. He walked again. The elevator was two rows ahead. She could see the number on the level marker: P3. Her car was on P1. There were no other people. The overhead lights made a buzzing sound that covered the sound of his shoes, so she had to keep turning around to know where he was.",3.956729277982402,3.3092000162030284,0,1,"{
""valence"": 0,
""arousal"": 1
}",0.007629884296608154,3.742259303235716,4.0272348584628945,3.9511589672889325,5,3,"{
""valence"": 5,
""arousal"": 3
}",0.010694181891326164,3.8782983614092643
B-terror-d2-v2,N-terror-d2-c2,affective,peak,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,4.310392816966779,4.648052167182844,5,3,"{
""valence"": 5,
""arousal"": 3
}",0.022910753528434035,3.742880134670545,4.5184612216792255,5.042780809480098,5,6,"{
""valence"": 5,
""arousal"": 6
}",0.01919919261295959,3.8391170749813646
B-terror-d3-v1,N-terror-d3-c1,affective,peak,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",4.841177621093262,5.718182405671065,-5,7,"{
""valence"": -5,
""arousal"": 7
}",0.025068799506121914,3.6003053660402156,4.922640590205196,5.399408091615148,5,7,"{
""valence"": 5,
""arousal"": 7
}",0.02161489914455326,3.7854792787899707
B-ecstasy-d1-v1,N-ecstasy-d1-c1,affective,peak,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",6.542900087186221,6.104211733321729,8,7,"{
""valence"": 8,
""arousal"": 7
}",0.004571057584143517,3.7994488725728828,4.297093995341521,6.244673038010978,1,9,"{
""valence"": 1,
""arousal"": 9
}",0.004399719258318991,4.0531279163139295
B-ecstasy-d1-v2,N-ecstasy-d1-c2,affective,peak,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",5.228150201998081,4.799690810025955,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.011657743582518981,4.034418068747233,5.322625522389217,4.563076540165404,8,7,"{
""valence"": 8,
""arousal"": 7
}",0.006565432436120169,4.112630035705718
