id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,4.5606951074432995,5.493825897863173,5.176607037339494,1,1,1,0.0072167220348189984,4.754407650815499,5.667610262716432,5.268081688840554,1,1,1,0.008423318020397122,4.424269669474501,5.439084476055856,5.117412433358701,1,1,1,0.008486252558868725
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,5.008639686271284,5.737832235544691,5.659998352605791,1,1,1,0.009371249719145285,5.4091993635730065,5.880520710441693,5.769734778997418,9,9,9,0.008616389864360766,4.815075140078872,5.581422385263925,5.5569227479161905,1,1,1,0.00925862406076122
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,4.618585083045839,4.847477855736458,5.125116342335573,1,1,1,0.008115511574592515,5.1276975036305,5.104477823066798,5.322350116588092,8,8,8,0.007736104802335981,4.487403857303787,4.761882700257708,5.00607291679206,1,1,1,0.007247791217344009
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,4.383908166223642,4.849820512953174,4.844332847650814,1,1,1,0.007367983799911367,4.67439438252319,4.979036677900592,5.038128276554535,1,1,1,0.007537501865189242,4.326876382588272,4.7758344012326335,4.895968305316029,1,1,1,0.008799508626526195
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,4.435005171875183,4.659769658327423,5.175641769317518,1,1,1,0.009826316489230196,4.706027999516818,4.698829052835345,5.253570405265186,1,1,1,0.010356957100007218,4.336950886092498,4.673552402286451,5.225947809382581,1,1,1,0.010640554274434161
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,4.260344360046421,4.7874848158069545,4.6473411595071905,1,1,1,0.006387945381886132,4.6698152943159705,5.121676084765829,4.839576101476347,1,1,1,0.006530437315604414,4.126223080330494,4.7411714843981105,4.527776115047018,1,1,1,0.00694442888041317
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,4.339691573684097,5.30080494459602,5.045005002259334,1,1,1,0.007666359471620034,4.616210294129601,5.402253207801358,5.26430216328986,1,1,1,0.006996028293527197,4.323801929771493,5.104241650169658,5.04213508186872,1,1,1,0.008169320704471501
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,4.000993236354385,4.778667641316973,4.907640169871887,1,1,1,0.006383616735427877,4.27644258122548,4.860107062608916,4.994027894938063,1,1,1,0.006506970370229366,4.0888086052806045,4.793196022503661,4.91528493791868,1,1,1,0.006135075542639149
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,4.650097710846084,5.212390510099621,5.099696489887503,1,1,1,0.007591293711705725,5.228505328749137,5.430440507095192,5.357238579066495,1,1,1,0.00928170119935386,4.546616468798015,5.118584038595918,5.046699329215047,1,1,1,0.009153457730762085
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,4.520770619960312,4.544603176494283,4.872637487291989,1,1,1,0.009704007355989211,4.648187165716284,4.739136012420713,4.975674449515162,1,1,1,0.00999834144651643,4.617255163500837,4.669256780762715,5.056385616760276,1,1,1,0.0091480848309566
