id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,split,pair_id,target_emotion,triplet_id,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
B-rage-d1-v1,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c1,82,"The papers were spread across the floor where he'd thrown them. His daughter's college fund statement. Zero balance. His brother's signature on the withdrawal form — six separate transactions over nine months, each one just under the reporting threshold. The most recent was dated the same week his brother had sat at this table and told him he should put more money in for the girl's future. He picked up the phone. He put the phone down. He picked it up again.",clinical,P_rage-d1-v1,rage,T_rage-d1-v1,3.8165308609579585,3.2366099889078863,5.110097990784063,4,3,6,8.786491290855221e-08,5.920138055858533,4.517461625526432,6.249630877867769,8,6,7,1.3895134985923848e-06,3.2398401971362083,3.8042010186942954,5.974733301730026,4,4,6,1.552487107037513e-08
B-rage-d1-v2,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c2,94,"She found the second set of books on a Tuesday. The real ones. The ones her business partner of fourteen years had kept in a folder labeled ""Insurance Receipts."" Fourteen years of skimmed invoices, redirected payments, phantom vendors that shared a P.O. box with his wife's consulting firm. She sat at her desk and calculated. The number was exact. She had built this company from a single client and a rented desk, and for fourteen years the person sitting ten feet away had been carrying pieces of it out the door in his briefcase.",clinical,P_rage-d1-v2,rage,T_rage-d1-v2,4.255625758474275,4.437932527700661,6.661590735360732,4,4,5,2.9418335739803353e-06,6.378846716052489,5.721520359789029,7.217570045303558,8,6,7,2.6000611129607645e-08,2.601483010635738,5.7148306834806135,7.341403753496087,1,6,7,4.578844418606158e-08
B-rage-d1-v3,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c3,94,"The retirement account had been emptied in increments so small she hadn't noticed. Her son had power of attorney. He'd used it forty-three times. The bank statements were in a folder the lawyer had prepared, each withdrawal highlighted in yellow — grocery stores, gas stations, an electronics retailer, a car dealership. She was eighty-one years old and she recognized the pattern: he had lived his daily life on her savings while depositing his own paychecks untouched into his own account. The math was simple. He had done it every week for almost three years.",clinical,P_rage-d1-v3,rage,,3.2331137616573105,2.6341493248083507,6.991924970678155,4,2,7,5.259127251969942e-08,5.970852242424981,5.596593917471804,7.158924237309686,4,6,7,2.8021458660271957e-08,3.3400928944856947,3.1710923714744688,7.554305870599821,4,2,8,4.2366326897534835e-09
B-rage-d1-v4,rage,peak,1.0,Financial betrayal (theft by trusted person),N-rage-d1-c4,95,"His best friend had borrowed the money for his mother's surgery. That was what he'd said. His mother's surgery. He'd signed a note, shaken his hand, and looked him in the eyes across the same bar where they'd been drinking since they were nineteen. The investigator's report was three pages long. There was no surgery. The mother had been in good health all year. The money had gone to a sports betting platform — deposits tracked by date, IP address, device. His friend had placed the first bet eleven minutes after the wire transfer cleared.",clinical,P_rage-d1-v4,rage,,3.9541481864350865,5.019077931479662,5.4635363799242835,4,6,7,3.1114359747985607e-07,5.8055235233247755,5.223019042125901,6.314716218305082,8,6,7,9.726285345883356e-08,2.2163907557823497,4.449316649893319,5.647049994686249,4,6,7,8.326925022156202e-08
B-rage-d2-v1,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c1,91,"The review board published its findings. No misconduct found. The officer was back on patrol the following Tuesday. The dashcam footage had been classified as inadmissible due to a filing error — the same filing error that had occurred in three previous complaints against the same officer, processed by the same clerk. His wife read the report at the kitchen table while their son ate cereal in the next room with his arm still in a cast. The board's letterhead had a motto about service and community printed along the bottom.",clinical,P_rage-d2-v1,rage,T_rage-d2-v1,2.845407897814355,3.0424307876699257,3.3415427719333146,1,3,2,1.5780801361225688e-07,6.257500149414434,4.920738357943377,5.984330106018538,8,6,7,3.231653997771253e-06,1.675027178481343,3.174581308144802,3.316832775198729,1,3,2,2.892676023596049e-07
B-rage-d2-v2,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c2,99,The hospital had billed her for the full amount. The surgery that used the wrong implant. The surgery that required a second surgery. The second surgery that left her with a limp she would have for the rest of her life. The hospital's attorney sent a letter stating that the signed consent form covered all procedural variations. The form was eleven pages long. She had signed it in a hallway on a clipboard while being wheeled to the operating room. The attorney's letter was dated the same day the hospital had nominated itself for a patient care excellence award.,clinical,P_rage-d2-v2,rage,T_rage-d2-v2,3.0755370683269696,3.1882821592690562,3.8473571996691,4,4,3,2.49956595589058e-08,5.986535880262164,5.470752921592625,6.587726113264857,8,6,7,1.0554028723019375e-06,2.3038389170784073,3.6428293863491183,5.591811811135605,1,3,6,2.0783190688166924e-06
B-rage-d2-v3,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c3,97,"The city had condemned the building on a Thursday. By Monday, the developer's company had filed for the lot. The building inspector's report cited violations that hadn't existed during the previous inspection eight months ago — the same inspector, the same building, different findings. Twenty-two families received a notice taped to the front door. The notice gave them thirty days. The developer's website already showed a rendering of what would go on the lot: glass and steel, a rooftop pool, units starting at a price that none of the twenty-two families would recognize as a monthly number.",clinical,P_rage-d2-v3,rage,,4.81161345736285,5.043688668932047,6.125207637367482,8,6,7,4.921254306045318e-07,6.772004805038654,5.831525161313639,6.855155425588526,8,6,7,3.9525189184876755e-08,2.6572176851554543,4.8731014570156,6.686605881338452,4,6,7,3.6447899535887174e-08
B-rage-d2-v4,rage,peak,2.0,Institutional injustice (system failure),N-rage-d2-c4,90,"The pharmaceutical company's internal emails were released on page forty-seven of the court filing. The relevant line: ""Efficacy data does not support label claims at current dosing. Recommend: adjust marketing language, not dosing."" The date on the email was six years before the recall. She had taken the medication for four of those six years. Her doctor had prescribed it based on the label. She counted backward. Her daughter had been conceived during year two. She looked at her daughter. She looked at the filing. She looked at her daughter.",clinical,P_rage-d2-v4,rage,,3.7399050632881465,2.15487185718274,3.2249900855423603,4,2,3,3.448124126497269e-09,4.965035028107686,2.8618995027592815,4.304797548412778,4,2,3,2.1006256231508106e-08,2.3119570785194066,2.2601272186690995,3.4349075461388052,1,2,3,1.0801585483567167e-08
B-rage-d3-v1,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c1,100,"She found the folder on his laptop. It was labeled with her name. Inside were screenshots of every private message she had sent to her sister, her therapist, her best friend — captured by an application that ran silently and uploaded to his cloud account. The timestamps went back fourteen months. He had read her describe her doubts about the relationship, her plans to visit a lawyer, her sister's offer of the spare bedroom. He had read all of it and sat across from her at dinner every night and said nothing, and she had thought the silence was ordinary.",clinical,P_rage-d3-v1,rage,T_rage-d3-v1,4.0765748351661015,3.4772440385032097,2.0544770840644264,4,4,2,7.790580006437412e-08,7.3102975074975625,5.707426014306205,2.935847095337824,8,6,3,1.3258889664056871e-08,2.5361480167115946,3.709576387778415,2.0597355919514966,1,3,2,2.48453244491774e-07
B-rage-d3-v2,rage,peak,3.0,Personal violation (boundary crossed),N-rage-d3-c2,86,The landlord had entered the apartment again. She knew because the camera she'd hidden after the second time had recorded him. Forty-seven minutes. He had gone through the dresser. He had opened the medicine cabinet. He had sat on the bed. She watched the footage on her phone in the parking lot of her office and her hands were completely still. She had reported it twice. The property management company had sent a form letter both times. The form letter said they took all concerns seriously.,clinical,P_rage-d3-v2,rage,T_rage-d3-v2,4.702015108121407,3.51225975635706,4.06493490997524,4,2,3,1.490666878794866e-07,7.200548010250725,5.850631938373463,6.960342711565519,8,6,7,3.283867394384432e-08,3.312376770315573,3.8164049593472384,4.206285997958199,4,4,3,4.111295101903749e-06
